underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-08-21,VIX,2017-08-23,9.000,C,4.4000,4.4000,4.4000,4.4000,10,119,3.7000,141,4.5000,13.2000,13.2000,138,3.7000,121,4.5000,13.1900,13.1900,4.4000,66,
^VIX,2017-08-21,VIX,2017-08-23,9.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,2901,0.0500,13.2000,13.2000,0,0.0000,2753,0.0500,13.1900,13.1900,0.0000,3,
^VIX,2017-08-21,VIX,2017-08-23,9.500,C,0.0000,0.0000,0.0000,0.0000,0,111,3.2000,131,4.0000,13.2000,13.2000,124,3.2000,116,4.0000,13.1900,13.1900,0.0000,284,
^VIX,2017-08-21,VIX,2017-08-23,9.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3653,0.0500,13.2000,13.2000,0,0.0000,3543,0.0500,13.1900,13.1900,0.0000,102,
^VIX,2017-08-21,VIX,2017-08-23,10.000,C,2.9000,2.9000,2.9000,2.9000,5,61,2.7500,117,3.5000,13.2000,13.2000,136,2.7500,121,3.5000,13.1900,13.1900,2.9000,916,
^VIX,2017-08-21,VIX,2017-08-23,10.000,P,0.0500,0.0500,0.0200,0.0200,1000,0,0.0000,4896,0.0500,13.2000,13.2000,0,0.0000,4550,0.0500,13.1900,13.1900,0.0350,1908,
^VIX,2017-08-21,VIX,2017-08-23,10.500,C,2.2500,2.2500,2.2500,2.2500,30,130,2.2500,131,3.0000,13.2000,13.2000,231,2.2500,228,2.9500,13.1900,13.1900,2.2500,361,
^VIX,2017-08-21,VIX,2017-08-23,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3986,0.0500,13.2000,13.2000,0,0.0000,3627,0.0500,13.1900,13.1900,0.0000,4182,
^VIX,2017-08-21,VIX,2017-08-23,11.000,C,2.6400,2.6400,2.6400,2.6400,1,1445,1.8000,986,2.5000,13.2000,13.2000,755,1.7500,395,2.4500,13.1900,13.1900,2.6400,603,
^VIX,2017-08-21,VIX,2017-08-23,11.000,P,0.0100,0.0100,0.0100,0.0100,10,0,0.0000,7093,0.0500,13.2000,13.2000,0,0.0000,6413,0.0500,13.1900,13.1900,0.0100,5786,
^VIX,2017-08-21,VIX,2017-08-23,11.500,C,2.0100,2.1000,2.0100,2.1000,7,1525,1.3000,708,2.0000,13.2000,13.2000,916,1.2500,349,1.9500,13.1900,13.1900,2.0857,580,
^VIX,2017-08-21,VIX,2017-08-23,11.500,P,0.0500,0.0500,0.0200,0.0300,367,0,0.0000,3127,0.0500,13.2000,13.2000,0,0.0000,2223,0.0500,13.1900,13.1900,0.0223,3063,
^VIX,2017-08-21,VIX,2017-08-23,12.000,C,2.2500,2.2500,1.4500,1.7500,105,1695,1.1000,353,1.5000,13.2000,13.2000,2489,1.0000,10,1.3500,13.1900,13.1900,1.7188,2449,
^VIX,2017-08-21,VIX,2017-08-23,12.000,P,0.0500,0.1500,0.0500,0.1000,2025,4086,0.0500,100,0.1000,13.2000,13.2000,8,0.1000,2926,0.1500,13.1900,13.1900,0.0942,16165,
^VIX,2017-08-21,VIX,2017-08-23,12.500,C,1.3500,1.5500,1.0500,1.0500,22,4136,0.7500,4626,1.0500,13.2000,13.2000,2947,0.6500,3,0.9500,13.1900,13.1900,1.3236,505,
