Date,Open,High,Low,Last
2006-01-17,582.75,588.5,579.5,580.75
2006-01-18,580,581,572.5,574.75
2006-01-19,575,578,574,574.75
2006-01-20,575,581.5,574,577.75
2006-01-23,580,587,578.75,585
2006-01-24,584.5,587.75,580,581
2006-01-25,580.5,591.5,577,578
2006-01-26,578,585,576.5,584.5
2006-01-27,585.5,601.5,585.5,599.75
2006-01-30,602.75,616.5,602.75,609.5
2006-01-31,608.75,610.5,602.5,606.75
2006-02-01,605.5,606.25,591.5,592.25
2006-02-02,590.5,597,590,596.75
2006-02-03,596,610.5,593.5,607.5
2006-02-06,606,616.5,597,600.5
2006-02-07,600,606.5,587,588
2006-02-08,586.25,595.5,584,591.25
2006-02-09,593,607,591,601.75
2006-02-10,601.75,604,590.5,596
2006-02-13,596,602,591.5,597.75
2006-02-14,598,599,593.5,596
2006-02-15,595.25,603,583,599
2006-02-16,597,605,594.5,604.25
2006-02-17,603.75,617,602.5,614.5
2006-02-20,603.75,617,602.5,614.5
2006-02-21,614,614,595,601
2006-02-22,600.5,602.25,585,586.5
2006-02-23,586.5,591,583,584.75
2006-02-24,585.25,592.75,585,590.25
2006-02-27,589.75,594,581,593
2006-02-28,593.5,598.5,587,594
2006-03-01,592.75,594.5,587,591
2006-03-02,590.5,607.5,585.5,604
2006-03-03,604,607,598.5,606
2006-03-06,601.75,606,591.5,600.5
2006-03-07,601,603,589,590
2006-03-08,589.75,592,583.25,584
2006-03-09,584.75,589.5,583.25,587.75
2006-03-10,587.25,596,579,589.25
2006-03-13,585,587.75,581.25,584.5
2006-03-14,584.5,589.5,581,587.75
2006-03-15,598.5,604,594.25,595.75
2006-03-16,595,598,587.5,588.25
2006-03-17,589,591,587.25,589
2006-03-20,589,594,584,585.25
2006-03-21,585.25,588.5,584,587.25
2006-03-22,587,593.5,587,589.75
2006-03-23,588.5,590.75,585.75,587.5
2006-03-24,587,593,586,587
2006-03-27,587,599.75,585.5,592
2006-03-28,591,596,590.5,594.5
2006-03-29,594,596.5,592,595.25
2006-03-30,595,601.25,593,601
2006-03-31,600,600.75,585,585.5
2006-04-03,585,588,578.5,579
2006-04-04,578.5,579,571.5,573
2006-04-05,572.5,576.5,570.25,576
2006-04-06,576,581.5,575,578
2006-04-07,577,577,570.5,572.25
2006-04-10,571,575.5,568.25,569
2006-04-11,569,577.5,567.25,577
2006-04-12,576,579.5,572.75,574.75
2006-04-13,574.5,578.75,573.5,577.75
2006-04-14,574.5,578.75,573.5,577.75
2006-04-17,577,589.5,576.25,585.5
2006-04-18,584.25,591.5,582.25,589.75
2006-04-19,589.25,590.75,583,587.75
2006-04-20,587.25,590,580,585.25
2006-04-21,583.5,587.5,580.5,583.25
2006-04-24,585,598,584,588.25
2006-04-25,587.75,594,584.75,593.25
2006-04-26,592.5,594,587.5,590
2006-04-27,589,591,582.5,590.5
2006-04-28,589.75,614,589,601
2006-05-01,597,612.5,596.25,606.75
2006-05-02,605.5,612.5,600.5,603
2006-05-03,602.5,608,601.25,605.5
2006-05-04,605,609,602.5,603.75
2006-05-05,605,614.5,604.5,606.5
2006-05-08,605,611.5,596.5,599.5
2006-05-09,601.5,611.5,600.5,604.5
2006-05-10,606,612,604.75,606
2006-05-11,605.5,617,602,613
2006-05-12,612.5,620,608,613
2006-05-15,619,622.25,607.5,610.75
2006-05-16,610,610.75,605,609.25
2006-05-17,609.5,616,606,610
2006-05-18,610,610,601,604.5
2006-05-19,604,604.5,592.5,593.75
2006-05-22,596,596,587.5,588.75
2006-05-23,592,594.75,588.5,592.75
