Date,Open,High,Low,Settle
2007-05-11,840,840,840,840
2007-05-14,837.95,837.95,837.95,837.95
2007-05-15,837.5,837.5,837.5,837.5
2007-05-16,842.25,842.25,842.25,842.25
2007-05-17,840.5,840.5,840.5,840.5
2007-05-18,847,847,847,847
2007-05-21,847.75,847.75,847.75,847.75
2007-05-22,848.5,848.5,848.5,848.5
2007-05-23,846.9,846.9,846.9,846.9
2007-05-24,840.25,840.25,840.25,840.25
2007-05-25,843.75,843.75,843.75,843.75
2007-05-28,843.75,843.75,843.75,843.75
2007-05-29,847,847,847,847
2007-05-30,853,853,853,853
2007-05-31,852.9,852.9,852.9,852.9
2007-06-01,856.75,856.75,856.75,856.75
2007-06-04,857.55,857.55,857.55,857.55
2007-06-05,853.8,853.8,853.8,853.8
2007-06-06,843.7,843.7,843.7,843.7
2007-06-07,828.9,828.9,828.9,828.9
2007-06-08,838.15,838.15,838.15,838.15
2007-06-11,840.2,840.2,840.2,840.2
2007-06-12,830.3,830.3,830.3,830.3
2007-06-13,841.65,841.65,841.65,841.65
2007-06-14,846.55,846.55,846.55,846.55
2007-06-15,851.3,851.3,851.3,851.3
2007-06-18,850.1,850.1,850.1,850.1
2007-06-19,851.8,851.8,851.8,851.8
2007-06-20,840,840,840,840
2007-06-21,844.55,844.55,844.55,844.55
2007-06-22,835.55,835.55,835.55,835.55
2007-06-25,831.05,831.05,831.05,831.05
2007-06-26,822.8,822.8,822.8,822.8
2007-06-27,834.3,834.3,834.3,834.3
2007-06-28,833.55,833.55,833.55,833.55
2007-06-29,833,833,833,833
2007-07-02,841.25,841.25,841.25,841.25
2007-07-03,844,844,844,844
2007-07-04,844,844,844,844
2007-07-05,843.5,843.5,843.5,843.5
2007-07-06,848.6,848.6,848.6,848.6
2007-07-09,848.5,848.5,848.5,848.5
2007-07-10,836.5,836.5,836.5,836.5
2007-07-11,842,842,842,842
2007-07-12,855.5,855.5,855.5,855.5
2007-07-13,857.5,857.5,857.5,857.5
2007-07-16,857,857,857,857
2007-07-17,856.45,856.45,856.45,856.45
2007-07-18,854.25,854.25,854.25,854.25
2007-07-19,857.25,857.25,857.25,857.25
2007-07-20,848.75,848.75,848.75,848.75
2007-07-23,851,851,851,851
2007-07-24,836.5,836.5,836.5,836.5
2007-07-25,836.6,836.6,836.6,836.6
2007-07-26,816.5,816.5,816.5,816.5
2007-07-27,800.75,800.75,800.75,800.75
2007-07-30,813.25,813.25,813.25,813.25
2007-07-31,802.75,802.75,802.75,802.75
2007-08-01,806.5,806.5,806.5,806.5
2007-08-02,813,813,813,813
2007-08-03,792.25,792.25,792.25,792.25
2007-08-06,803.75,803.75,803.75,803.75
2007-08-07,812.25,812.25,812.25,812.25
2007-08-08,823.5,823.5,823.5,823.5
2007-08-09,799,799,799,799
2007-08-10,795.5,795.5,795.5,795.5
2007-08-13,798,798,798,798
2007-08-14,786.5,786.5,786.5,786.5
2007-08-15,774.75,786.55,772.7,774.75
2007-08-16,778.75,778.75,778.75,778.75
2007-08-17,778.75,778.75,778.75,778.75
2007-08-20,792.25,792.25,792.25,792.25
2007-08-21,793.2,793.2,793.2,793.2
2007-08-22,803.6,803.6,803.6,803.6
2007-08-23,803.3,803.3,803.3,803.3
2007-08-24,813.05,813.05,813.05,813.05
2007-08-27,805.4,805.4,805.4,805.4
2007-08-28,788.2,788.2,788.2,788.2
2007-08-29,802.85,802.85,802.85,802.85
2007-08-30,801.15,801.15,801.15,801.15
2007-08-31,809.8,809.8,809.8,809.8
2007-09-03,809.8,809.8,809.8,809.8
2007-09-04,817.7,817.7,817.7,817.7
2007-09-05,811,811,811,811
2007-09-06,812.45,812.45,812.45,812.45
2007-09-07,801.6,801.6,801.6,801.6
2007-09-10,799.1,799.1,799.1,799.1
2007-09-11,808.3,808.3,808.3,808.3
2007-09-12,810.25,810.25,810.25,810.25
2007-09-13,814.4,817.6,810.8,814.4
2007-09-14,814.75,815.1,808.6,814.75
2007-09-17,809.95,813.5,808.55,809.95
2007-09-18,833.25,833.25,812.35,833.25
2007-09-19,838.25,843.8,835.3,838.25
2007-09-20,832.3,838,831,832.3
2007-09-21,833.9,838.75,835.6,833.9
2007-09-24,832.4,837.85,830.2,832.4
2007-09-25,830.85,831.75,825.45,830.85
2007-09-26,840.4,840.4,840.4,840.4
2007-09-27,846.35,846.35,846.35,846.35
2007-09-28,843.3,843.3,843.3,843.3
2007-10-01,853.3,853.3,853.3,853.3
2007-10-02,852.25,852.25,852.25,852.25
2007-10-03,850.3,850.3,850.3,850.3
2007-10-04,851.3,851.3,851.3,851.3
2007-10-05,861.2,861.2,861.2,861.2
2007-10-08,857.1,857.1,857.1,857.1
2007-10-09,864.85,864.85,864.85,864.85
2007-10-10,863.4,863.4,863.4,863.4
2007-10-11,859.3,859.3,859.3,859.3
2007-10-12,864.15,864.15,864.15,864.15
2007-10-15,856.3,856.3,856.3,856.3
2007-10-16,849,849,849,849
2007-10-17,852.2,852.2,852.2,852.2
2007-10-18,849,849,849,849
2007-10-19,827.4,827.4,827.4,827.4
2007-10-22,831.45,831.45,831.45,831.45
2007-10-23,837.8,837.8,837.8,837.8
2007-10-24,836.15,836.15,836.15,836.15
2007-10-25,836.95,836.95,836.95,836.95
2007-10-26,846.3,846.3,846.3,846.3
2007-10-29,849.15,849.15,849.15,849.15
2007-10-30,843.2,843.2,843.2,843.2
2007-10-31,853.7,853.7,853.7,853.7
2007-11-01,832.9,832.9,832.9,832.9
2007-11-02,832.8,832.8,832.8,832.8
2007-11-05,825.7,825.7,825.7,825.7
2007-11-06,836.55,836.55,836.55,836.55
2007-11-07,815,815,815,815
2007-11-08,811,811,811,811
2007-11-09,799.45,799.45,799.45,799.45
2007-11-12,790.45,790.45,790.45,790.45
2007-11-13,813.3,813.3,813.3,813.3
2007-11-14,811.2,811.2,811.2,811.2
2007-11-15,799.8,799.8,799.8,799.8
2007-11-16,801.3,801.3,801.3,801.3
2007-11-19,789.15,789.15,789.15,789.15
2007-11-20,792.95,792.95,792.95,792.95
2007-11-21,780.95,780.95,780.95,780.95
2007-11-22,780.95,780.95,780.95,780.95
2007-11-23,789.95,789.95,789.95,789.95
2007-11-26,773.85,773.85,773.85,773.85
2007-11-27,782.75,782.75,782.75,782.75
2007-11-28,806.35,806.35,806.35,806.35
2007-11-29,806.9,806.9,806.9,806.9
2007-11-30,813.8,813.8,813.8,813.8
2007-12-03,808.9,808.9,808.9,808.9
2007-12-04,802.9,802.9,802.9,802.9
2007-12-05,814.8,814.8,814.8,814.8
2007-12-06,826.55,826.55,826.55,826.55
2007-12-07,826.85,826.85,826.85,826.85
2007-12-10,833.55,833.55,833.55,833.55
2007-12-11,810.8,810.8,810.8,810.8
2007-12-12,816.7,817.3,811.5,816.7
2007-12-13,816.3,810.25,808.8,816.3
2007-12-14,805.1,814.75,805.55,805.1
2007-12-17,793.05,803.2,792.5,793.05
2007-12-18,798.2,800.1,787.05,798.2
2007-12-19,797,802.05,792.7,797
2007-12-20,803.5,802.05,794.3,803.5
2007-12-21,815.95,814.5,808.65,815.95
2007-12-24,821.9,821.8,817.1,821.9
2007-12-25,821.9,821.8,817.1,821.9
2007-12-26,822,822,817,822
2007-12-27,818.25,818.25,818.25,818.25
2007-12-28,816.2,816.2,816.2,816.2
2007-12-31,811.85,811.85,811.85,811.85
2008-01-01,811.85,811.85,811.85,811.85
2008-01-02,802.05,802.05,802.05,802.05
2008-01-03,801.1,801.1,801.1,801.1
2008-01-04,780.9,780.9,780.9,780.9
2008-01-07,779.15,779.15,779.15,779.15
2008-01-08,765.9,765.9,765.9,765.9
2008-01-09,773.55,773.55,773.55,773.55
2008-01-10,776.65,776.65,776.65,776.65
2008-01-11,770.45,770.45,770.45,770.45
2008-01-14,776.95,776.95,776.95,776.95
2008-01-15,759.4,759.4,759.4,759.4
2008-01-16,752.6,752.6,752.6,752.6
2008-01-17,733.1,733.1,733.1,733.1
2008-01-18,725.65,725.65,725.65,725.65
2008-01-21,688.8,688.8,688.8,688.8
2008-01-22,717.3,717.3,717.3,717.3
2008-01-23,731.25,731.25,731.25,731.25
2008-01-24,736.8,736.8,736.8,736.8
2008-01-25,727.7,727.7,727.7,727.7
2008-01-28,739.3,739.3,739.3,739.3
2008-01-29,743.85,743.85,743.85,743.85
2008-01-30,739.4,739.4,739.4,739.4
2008-01-31,753.7,753.7,753.7,753.7
2008-02-01,764.1,764.1,764.1,764.1
2008-02-04,754.45,754.45,754.45,754.45
2008-02-05,735.1,735.1,735.1,735.1
2008-02-06,727.4,727.4,727.4,727.4
2008-02-07,733.25,733.25,733.25,733.25
2008-02-08,728.7,728.7,728.7,728.7
2008-02-11,732.5,732.5,732.5,732.5
2008-02-12,738.6,738.6,738.6,738.6
2008-02-13,746.4,746.4,746.4,746.4
2008-02-14,739.35,739.35,739.35,739.35
2008-02-15,739.15,739.15,739.15,739.15
2008-02-18,739.15,739.15,739.15,739.15
2008-02-19,741.7,741.7,741.7,741.7
2008-02-20,743.6,743.6,743.6,743.6
2008-02-21,736.8,736.8,736.8,736.8
2008-02-22,741,741,741,741
2008-02-25,751.35,751.35,751.35,751.35
2008-02-26,757.1,757.1,757.1,757.1
2008-02-27,755.2,755.2,755.2,755.2
2008-02-28,747.5,747.5,747.5,747.5
2008-02-29,728.3,728.3,728.3,728.3
2008-03-03,728.3,728.3,728.3,728.3
2008-03-04,725,725,725,725
2008-03-05,723.9,729.8,723.9,730.1
2008-03-06,722.2,722.2,714.2,715.05
2008-03-07,713.35,713.35,701.95,706.9
2008-03-10,696.15,696.15,696.15,696.45
2008-03-11,706.15,714.35,706.1,721.75
2008-03-12,718.85,725.85,713.75,714.55
2008-03-13,703.65,721.4,700.55,717.1
2008-03-14,719.75,719.95,696.85,704.65
