Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1962-01-02,37.25,38.5,37.25,37.25,1033.576052,0,1,0.075279031,0.077805173,0.075279031,0.075279031,408800
1962-01-03,37.25,37.88,37.25,37.75,984.2738673,0,1,0.075279031,0.076552206,0.075279031,0.076289487,389300
1962-01-04,37.75,37.88,37.5,37.75,1181.229773,0,1,0.076289487,0.076552206,0.075784259,0.076289487,467200
1962-01-05,37.75,38,37.63,37.88,1181.229773,0,1,0.076289487,0.076794716,0.076046978,0.076552206,467200
1962-01-08,37.88,38.38,37,37.75,1575.141586,0,1,0.076552206,0.077562663,0.074773802,0.076289487,623000
1962-01-09,37.75,38.5,37.5,38.5,787.5707929,0,1,0.076289487,0.077805173,0.075784259,0.077805173,311500
1962-01-10,38.5,39.13,38.5,38.87,836.6201456,0,1,0.077805173,0.079078348,0.077805173,0.078552911,330900
1962-01-11,38.87,40.25,38.75,40,2510.3661,0,1,0.078552911,0.081341771,0.078310401,0.080836543,992900
1962-01-12,40,40.13,38.25,38.75,2510.3661,0,1,0.080836543,0.081099262,0.077299944,0.078310401,992900
1962-01-15,38.75,39,38.5,38.75,787.5707929,0,1,0.078310401,0.078815629,0.077805173,0.078310401,311500
1962-01-16,38.5,38.5,37.5,37.75,442.961165,0,1,0.077805173,0.077805173,0.075784259,0.076289487,175200
1962-01-17,37.75,37.75,36.5,36.5,492.0105178,0,1,0.076289487,0.076289487,0.073763345,0.073763345,194600
1962-01-18,36.75,37.5,36.75,37.25,393.6589806,0,1,0.074268574,0.075784259,0.074268574,0.075279031,155700
1962-01-19,37.5,38,37.5,38,541.3127023,0,1,0.075784259,0.076794716,0.075784259,0.076794716,214100
1962-01-22,38.25,38.63,38.25,38.63,442.961165,0,1,0.077299944,0.078067891,0.077299944,0.078067891,175200
1962-01-23,38.63,39.5,38.25,38.5,1476.537217,0,1,0.078067891,0.079826086,0.077299944,0.077805173,584000
1962-01-24,38.5,38.5,37.5,38,442.961165,0,1,0.077805173,0.077805173,0.075784259,0.076794716,175200
1962-01-25,38,38.12,37.5,37.5,196.7030744,0,1,0.076794716,0.077037225,0.075784259,0.075784259,77800
1962-01-26,37.5,38,37.25,37.25,442.961165,0,1,0.075784259,0.076794716,0.075279031,0.075279031,175200
1962-01-29,37.25,37.75,37.25,37.25,295.3074434,0,1,0.075279031,0.076289487,0.075279031,0.075279031,116800
1962-01-30,37.25,37.63,37,37.5,836.6201456,0,1,0.075279031,0.076046978,0.074773802,0.075784259,330900
1962-01-31,37.5,37.63,37.25,37.5,393.6589806,0,1,0.075784259,0.076046978,0.075279031,0.075784259,155700
1962-02-01,37.5,38.63,37.5,38,1575.141586,0,1,0.075784259,0.078067891,0.075784259,0.076794716,623000
1962-02-02,38,38.5,38,38,787.5707929,0,1,0.076794716,0.077805173,0.076794716,0.076794716,311500
1962-02-05,38,38.38,38,38,492.0105178,0,1,0.076794716,0.077562663,0.076794716,0.076794716,194600
1962-02-06,38,38.25,37.75,37.75,295.3074434,0,1,0.076794716,0.077299944,0.076289487,0.076289487,116800
1962-02-07,38,38.5,38,38.25,1771.84466,0,1,0.076794716,0.077805173,0.076794716,0.077299944,700800
1962-02-08,38.75,39.62,38.75,39.25,2608.717638,0,1,0.078310401,0.080068596,0.078310401,0.079320858,1031800
1962-02-09,39.38,39.75,39.38,39.5,1279.581311,0,1,0.079583577,0.080331315,0.079583577,0.079826086,506100
1962-02-12,39.5,39.62,39.25,39.5,787.5707929,0,1,0.079826086,0.080068596,0.079320858,0.079826086,311500
1962-02-13,39.5,39.5,39,39.5,787.5707929,0,1,0.079826086,0.079826086,0.078815629,0.079826086,311500
1962-02-14,39.38,39.38,39,39,246.0052589,0,1,0.079583577,0.079583577,0.078815629,0.078815629,97300
1962-02-15,39.13,39.38,39.13,39.25,590.6148867,0,1,0.079078348,0.079583577,0.079078348,0.079320858,233600
1962-02-16,39.5,40.63,39.5,40,4676.122573,0,1,0.079826086,0.082109718,0.079826086,0.080836543,1849500
1962-02-19,40,40,39.38,39.38,1033.576052,0,1,0.080836543,0.080836543,0.079583577,0.079583577,408800
1962-02-20,39.62,39.75,39.62,39.75,295.3074434,0,1,0.080068596,0.080331315,0.080068596,0.080331315,116800
1962-02-21,39.5,39.5,39.25,39.25,147.6537217,0,1,0.079826086,0.079826086,0.079320858,0.079320858,58400
1962-02-23,39.25,39.38,39,39,541.3127023,0,1,0.079320858,0.079583577,0.078815629,0.078815629,214100
1962-02-26,38.5,38.5,37.5,38,935.2245146,0,1,0.077805173,0.077805173,0.075784259,0.076794716,369900
1962-02-27,38,38.5,37.75,37.75,590.6148867,0,1,0.076794716,0.077805173,0.076289487,0.076289487,233600
1962-02-28,37.75,38,37.37,37.37,344.3567961,0,1,0.076289487,0.076794716,0.07552154,0.07552154,136200
1962-03-01,37.5,38.38,37.5,38.38,541.3127023,0,1,0.075784259,0.077562663,0.075784259,0.077562663,214100
