Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1986-03-13,25.5,29.25,25.5,28,3582600,0,1,0.060251636,0.06911217,0.060251636,0.066158659,1031788800
1986-03-14,28,29.5,28,29,1070000,0,1,0.066158659,0.069702873,0.066158659,0.068521468,308160000
1986-03-17,29,29.75,29,29.5,462400,0,1,0.068521468,0.070293575,0.068521468,0.069702873,133171200
1986-03-18,29.5,29.75,28.5,28.75,235300,0,1,0.069702873,0.070293575,0.067340064,0.067930766,67766400
1986-03-19,28.75,29,28,28.25,166300,0,1,0.067930766,0.068521468,0.066158659,0.066749361,47894400
1986-03-20,28.25,28.25,27.25,27.5,202900,0,1,0.066749361,0.066749361,0.064386552,0.064977254,58435200
1986-03-21,27.5,28,26.25,26.75,208300,0,1,0.064977254,0.066158659,0.062023743,0.063205147,59990400
1986-03-24,26.75,26.75,25.75,26,226700,0,1,0.063205147,0.063205147,0.060842338,0.06143304,65289600
1986-03-25,26,26.5,25.75,26.5,111400,0,1,0.06143304,0.062614445,0.060842338,0.062614445,32083200
1986-03-26,26.5,27.5,26.25,27.25,79000,0,1,0.062614445,0.064977254,0.062023743,0.064386552,22752000
1986-03-27,27.25,27.75,27.25,27.75,58500,0,1,0.064386552,0.065567957,0.064386552,0.065567957,16848000
1986-03-31,27.75,27.75,27,27.5,44700,0,1,0.065567957,0.065567957,0.06379585,0.064977254,12873600
1986-04-01,27.5,27.5,27.25,27.25,38500,0,1,0.064977254,0.064977254,0.064386552,0.064386552,11088000
1986-04-02,27.25,28,27.25,27.5,93800,0,1,0.064386552,0.066158659,0.064386552,0.064977254,27014400
1986-04-03,27.75,28.5,27.75,27.75,80000,0,1,0.065567957,0.067340064,0.065567957,0.065567957,23040000
1986-04-04,27.75,28,27.75,27.75,92300,0,1,0.065567957,0.066158659,0.065567957,0.065567957,26582400
1986-04-07,27.75,28,26.75,27.25,57500,0,1,0.065567957,0.066158659,0.063205147,0.064386552,16560000
1986-04-08,27.25,28,27.25,27.5,35600,0,1,0.064386552,0.066158659,0.064386552,0.064977254,10252800
1986-04-09,27.5,28.25,27.5,28,42200,0,1,0.064977254,0.066749361,0.064977254,0.066158659,12153600
1986-04-10,28,28.5,27.5,28.25,48200,0,1,0.066158659,0.067340064,0.064977254,0.066749361,13881600
1986-04-11,28.5,29.25,28.5,28.75,59800,0,1,0.067340064,0.06911217,0.067340064,0.067930766,17222400
1986-04-14,28.75,29.25,28.75,29,42200,0,1,0.067930766,0.06911217,0.067930766,0.068521468,12153600
1986-04-15,29,29,28,29,32300,0,1,0.068521468,0.068521468,0.066158659,0.068521468,9302400
1986-04-16,29,30.25,28.75,30,110800,0,1,0.068521468,0.07147498,0.067930766,0.070884277,31910400
1986-04-17,30,30.25,30,30.25,76400,0,1,0.070884277,0.07147498,0.070884277,0.07147498,22003200
1986-04-18,30.25,30.25,29,29.25,75100,0,1,0.07147498,0.07147498,0.068521468,0.06911217,21628800
1986-04-21,29.25,29.5,28.5,29.25,79600,0,1,0.06911217,0.069702873,0.067340064,0.06911217,22924800
1986-04-22,29.25,29.25,28.75,28.75,54000,0,1,0.06911217,0.06911217,0.067930766,0.067930766,15552000
1986-04-23,28.75,29,28.5,28.87,54200,0,1,0.067930766,0.068521468,0.067340064,0.068214303,15609600
1986-04-24,28.87,32.25,28.75,31.75,216500,0,1,0.068214303,0.076200598,0.067930766,0.075019194,62352000
1986-04-25,32,35.13,32,33.75,297900,0,1,0.075609896,0.083005489,0.075609896,0.079744812,85795200
1986-04-28,33.75,34.25,33.5,34,100300,0,1,0.079744812,0.080926217,0.07915411,0.080335514,28886400
1986-04-29,34,34,32.75,33,105300,0,1,0.080335514,0.080335514,0.077382003,0.077972705,30326400
1986-04-30,33,33.25,31.5,32.25,107300,0,1,0.077972705,0.078563407,0.074428491,0.076200598,30902400
1986-05-01,32.25,32.25,31.25,31.75,188700,0,1,0.076200598,0.076200598,0.073837789,0.075019194,54345600
1986-05-02,31.75,32.25,31.5,31.75,70300,0,1,0.075019194,0.076200598,0.074428491,0.075019194,20246400
1986-05-05,31.75,31.75,31.5,31.5,11300,0,1,0.075019194,0.075019194,0.074428491,0.074428491,3254400
