Date,Open,High,Low,Close,Volume,AdjClose
2011-11-21,13.71,14.77,13.5,14.63,33269626,0
2011-11-22,14.79,15.16,14.7,15.08,32191345,0
2011-11-23,14.92,15.03,14.43,14.44,20633912,0
2011-11-25,14.25,14.58,14,14.04,10165406,0
2011-11-28,14.5,15.05,14.5,14.83,17265914,0
2011-11-29,14.81,15.1,14.67,14.91,15593537,0
2011-11-30,15.36,15.67,15.23,15.63,18259095,0
2011-12-01,15.5,15.86,15.43,15.82,13246874,0
2011-12-02,15.99,16.05,15.57,15.72,13662984,0
2011-12-05,15.98,16,15.35,15.48,16118161,0
2011-12-06,15.57,15.6,15.1,15.26,14345771,0
2011-12-07,15.16,15.28,14.85,15.17,12750900,0
2011-12-08,15.02,15.27,14.64,14.69,12288755,0
2011-12-09,14.58,15.02,14.38,14.9,13896485,0
2011-12-12,14.58,14.64,14.26,14.53,14333334,0
2011-12-13,14.72,14.9,14.04,14.13,12914883,0
2011-12-14,14.01,14.09,13.43,13.58,15901947,0
2011-12-15,13.81,13.9,13.43,13.46,10881738,0
2011-12-16,13.57,13.83,13.45,13.51,15479668,0
2011-12-19,13.57,13.73,13.11,13.16,11585844,0
2011-12-20,13.46,13.95,13.46,13.9,11138012,0
2011-12-21,13.82,13.97,13.45,13.72,13710540,0
2011-12-22,13.76,14.35,13.76,14.3,14416187,0
2011-12-23,14.38,14.4,14.05,14.17,6223688,0
2011-12-27,14.11,14.28,14.02,14.06,4893716,0
2011-12-28,14.06,14.09,13.7,13.71,5849109,0
2011-12-29,13.85,14,13.65,13.97,5277991,0
2011-12-30,13.92,14.07,13.84,13.86,4674082,0
2012-01-03,14.3,14.4,14.01,14.04,11703338,0
2012-01-04,14.05,14.26,13.92,14.2,8684216,0
2012-01-05,14.13,14.78,14.07,14.71,14089284,0
2012-01-06,14.7,14.71,14.37,14.54,13341151,0
2012-01-09,14.55,14.82,14.44,14.54,12708863,0
2012-01-10,14.76,14.77,14.38,14.48,13659484,0
2012-01-11,14.35,14.48,14.13,14.19,12108921,0
