Date,Open,High,Low,Close,Volume,Adj Close
2011-11-21,13.71,14.77,13.5,14.63,33269700,13.636793
2011-11-22,14.79,15.16,14.71,15.08,32187000,14.056243
2011-11-23,14.92,15.03,14.43,14.44,20633500,13.459691
2011-11-25,14.25,14.58,14,14.04,10165500,13.086847
2011-11-28,14.5,15.05,14.5,14.83,17265400,13.823215
2011-11-29,14.81,15.1,14.67,14.91,15586000,13.897784
2011-11-30,15.36,15.67,15.23,15.63,18258100,14.568905
2011-12-01,15.5,15.86,15.43,15.82,13244000,14.746006
2011-12-02,15.99,16.049999,15.57,15.72,13661600,14.652795
2011-12-05,15.98,16,15.35,15.48,16117400,14.429087
2011-12-06,15.57,15.6,15.1,15.26,14345800,14.224024
2011-12-07,15.16,15.28,14.85,15.17,12750400,14.140133
2011-12-08,15.02,15.27,14.64,14.69,12287200,13.692719
2011-12-09,14.58,15.02,14.38,14.9,13896000,13.888463
2011-12-12,14.58,14.64,14.26,14.53,14330200,13.543582
2011-12-13,14.72,14.9,14.04,14.13,12914900,13.170737
2011-12-14,14.01,14.09,13.43,13.58,15900500,12.658076
2011-12-15,13.81,13.9,13.43,13.46,10878700,12.546222
2011-12-16,13.57,13.83,13.45,13.51,15477900,12.592828
2011-12-19,13.57,13.73,13.11,13.16,11581900,12.266589
2011-12-20,13.46,13.95,13.46,13.9,11130200,12.956351
2011-12-21,13.82,13.97,13.45,13.72,13710600,12.788572
2011-12-22,13.76,14.35,13.76,14.31,14414000,13.338518
2011-12-23,14.38,14.4,14.05,14.17,6223700,13.208022
2011-12-27,14.11,14.28,14.02,14.06,4892800,13.10549
2011-12-28,14.06,14.09,13.7,13.71,5849000,12.77925
2011-12-29,13.85,14,13.65,13.97,5277800,13.0216
2011-12-30,13.92,14.07,13.84,13.86,4673900,12.919067
2012-01-03,14.3,14.4,14.01,14.04,11701100,13.086847
2012-01-04,14.05,14.26,13.92,14.2,8684300,13.235985
2012-01-05,14.13,14.78,14.07,14.71,14088700,13.711362
2012-01-06,14.7,14.71,14.37,14.54,13331300,13.552903
2012-01-09,14.55,14.82,14.44,14.54,12706100,13.552903
2012-01-10,14.76,14.77,14.38,14.48,13658200,13.496976
2012-01-11,14.35,14.48,14.13,14.19,12106800,13.226664
2012-01-12,14.22,14.23,13.79,14.1,16309100,13.142774
2012-01-13,14,14.03,13.66,13.73,12607500,12.797892
2012-01-17,13.94,13.94,13.5,13.52,15679400,12.60215
2012-01-18,13.78,14.09,13.71,13.98,15816900,13.03092
2012-01-19,14.1,14.37,13.95,14.35,15207800,13.375802
2012-01-20,14.33,14.5,14.17,14.22,13656800,13.254627
2012-01-23,14.23,14.62,14.05,14.61,14069800,13.61815
2012-01-24,14.51,15,14.5,14.94,18273000,13.925747
2012-01-25,14.54,14.89,14.12,14.85,31853800,13.841858
2012-01-26,15.07,15.24,14.63,14.71,19991800,13.711362
2012-01-27,14.62,14.99,14.5,14.91,11249900,13.897784
2012-01-30,14.65,14.87,14.43,14.8,9976900,13.795252
2012-01-31,14.84,14.85,14.51,14.77,8947500,13.767289
2012-02-01,14.94,15.1,14.73,14.93,10700500,13.916427
2012-02-02,15.01,15.55,14.86,15.49,17405900,14.438409
2012-02-03,15.72,15.95,15.69,15.82,12380800,14.746006
2012-02-06,15.74,15.76,15.56,15.7,6971700,14.634152
2012-02-07,15.72,15.83,15.46,15.74,10257400,14.671437
2012-02-08,15.74,16.620001,15.66,16.309999,21190300,15.20274
2012-02-09,16.51,16.6,16.27,16.299999,14048600,15.193419
2012-02-10,16.139999,16.200001,15.81,15.9,11006700,14.820574
2012-02-13,16.299999,16.360001,15.82,16.15,15266700,15.053602
