date,underlying,root_symbol,exchange,futures_symbol,futures_expiration_date,futures_close,options_expiration_date,strike,type,style,bid,ask,settlement,volume,open_interest
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2522,09/22/2017,100,C,E,0,0,2400.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2522,09/22/2017,100,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,500,C,E,0,0,2000.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,500,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,800,C,E,0,0,1700.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,800,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,825,C,E,0,0,1675.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,825,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,850,C,E,0,0,1650.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,850,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,875,C,E,0,0,1625.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,875,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,900,C,E,0,0,1600.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,900,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,925,C,E,0,0,1575.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,925,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,950,C,E,0,0,1550.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,950,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,975,C,E,0,0,1525.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,975,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1000,C,E,0,0,1500.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1000,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1025,C,E,0,0,1475.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1025,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1050,C,E,0,0,1450.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1050,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1075,C,E,0,0,1425.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1075,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1100,C,E,0,0,1400.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1100,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1125,C,E,0,0,1375.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1125,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1150,C,E,0,0,1350.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1150,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1175,C,E,0,0,1325.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1175,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1200,C,E,0,0,1300.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1200,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1225,C,E,0,0,1275.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1225,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1250,C,E,0,0,1250.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1250,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1275,C,E,0,0,1225.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1275,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1300,C,E,0,0,1200.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1300,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1325,C,E,0,0,1175.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1325,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1350,C,E,0,0,1150.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1350,P,E,0,0.05,0.05,0,20
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1375,C,E,0,0,1125.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1375,P,E,0,0.05,0.05,0,25
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1390,C,E,0,0,1110.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1390,P,E,0,0.05,0.05,0,450
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1400,C,E,0,0,1100.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1400,P,E,0,0.05,0.05,0,470
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1410,C,E,0,0,1090.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1410,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1420,C,E,0,0,1080.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1420,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1425,C,E,0,0,1075.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1425,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1430,C,E,0,0,1070.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1430,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1440,C,E,0,0,1060.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1440,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1450,C,E,0,0,1050.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1450,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1460,C,E,0,0,1040.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1460,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1470,C,E,0,0,1030.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1470,P,E,0,0.05,0.05,0,480
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1475,C,E,0,0,1025.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1475,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1480,C,E,0,0,1020.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1480,P,E,0,0.05,0.05,0,10
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1490,C,E,0,0,1010.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1490,P,E,0,0.05,0.05,0,1
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1500,C,E,0,0,1000.75,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1500,P,E,0,0.05,0.05,0,1
