trade_id,timestamp,action,units,option_contract,expiration_date,type,strike
0,01/03/2017,1,2,CL_03/16/2017_P_58.5,03/16/2017,P,58.5
0,01/03/2017,-1,4,CL_03/16/2017_P_53,03/16/2017,P,53
0,01/03/2017,1,2,CL_03/16/2017_P_44.5,03/16/2017,P,44.5
0,01/23/2017,-1,2,CL_03/16/2017_P_44.5,03/16/2017,P,44.5
0,01/23/2017,1,4,CL_03/16/2017_P_53,03/16/2017,P,53
0,01/23/2017,-1,2,CL_03/16/2017_P_58.5,03/16/2017,P,58.5
1,01/23/2017,1,2,CL_03/16/2017_P_57,03/16/2017,P,57
1,01/23/2017,-1,4,CL_03/16/2017_P_52.5,03/16/2017,P,52.5
1,01/23/2017,1,2,CL_03/16/2017_P_45.5,03/16/2017,P,45.5
1,02/06/2017,-1,2,CL_03/16/2017_P_45.5,03/16/2017,P,45.5
1,02/06/2017,1,4,CL_03/16/2017_P_52.5,03/16/2017,P,52.5
1,02/06/2017,-1,2,CL_03/16/2017_P_57,03/16/2017,P,57
2,02/06/2017,1,2,CL_04/17/2017_P_58.5,04/17/2017,P,58.5
2,02/06/2017,-1,4,CL_04/17/2017_P_53,04/17/2017,P,53
2,02/06/2017,1,2,CL_04/17/2017_P_45.5,04/17/2017,P,45.5
2,02/17/2017,-1,2,CL_04/17/2017_P_45.5,04/17/2017,P,45.5
2,02/17/2017,1,4,CL_04/17/2017_P_53,04/17/2017,P,53
2,02/17/2017,-1,2,CL_04/17/2017_P_58.5,04/17/2017,P,58.5
3,02/17/2017,1,2,CL_04/17/2017_P_57.5,04/17/2017,P,57.5
3,02/17/2017,-1,4,CL_04/17/2017_P_53,04/17/2017,P,53
3,02/17/2017,1,2,CL_04/17/2017_P_47,04/17/2017,P,47
3,02/28/2017,-1,2,CL_04/17/2017_P_47,04/17/2017,P,47
3,02/28/2017,1,4,CL_04/17/2017_P_53,04/17/2017,P,53
3,02/28/2017,-1,2,CL_04/17/2017_P_57.5,04/17/2017,P,57.5
4,02/28/2017,1,2,CL_05/17/2017_P_58.5,05/17/2017,P,58.5
4,02/28/2017,-1,4,CL_05/17/2017_P_53.5,05/17/2017,P,53.5
4,02/28/2017,1,2,CL_05/17/2017_P_46.5,05/17/2017,P,46.5
4,03/08/2017,-1,2,CL_05/17/2017_P_46.5,05/17/2017,P,46.5
4,03/08/2017,1,4,CL_05/17/2017_P_53.5,05/17/2017,P,53.5
4,03/08/2017,-1,2,CL_05/17/2017_P_58.5,05/17/2017,P,58.5
5,03/08/2017,1,2,CL_05/17/2017_P_55.5,05/17/2017,P,55.5
5,03/08/2017,-1,4,CL_05/17/2017_P_50,05/17/2017,P,50
5,03/08/2017,1,2,CL_05/17/2017_P_42.5,05/17/2017,P,42.5
5,03/13/2017,-1,2,CL_05/17/2017_P_42.5,05/17/2017,P,42.5
5,03/13/2017,1,4,CL_05/17/2017_P_50,05/17/2017,P,50
5,03/13/2017,-1,2,CL_05/17/2017_P_55.5,05/17/2017,P,55.5
6,03/13/2017,1,2,CL_05/17/2017_P_53.5,05/17/2017,P,53.5
6,03/13/2017,-1,4,CL_05/17/2017_P_48,05/17/2017,P,48
6,03/13/2017,1,2,CL_05/17/2017_P_41,05/17/2017,P,41
6,03/20/2017,-1,2,CL_05/17/2017_P_41,05/17/2017,P,41
6,03/20/2017,1,4,CL_05/17/2017_P_48,05/17/2017,P,48
6,03/20/2017,-1,2,CL_05/17/2017_P_53.5,05/17/2017,P,53.5
7,03/20/2017,1,2,CL_05/17/2017_P_53,05/17/2017,P,53
7,03/20/2017,-1,4,CL_05/17/2017_P_48.5,05/17/2017,P,48.5
7,03/20/2017,1,2,CL_05/17/2017_P_42,05/17/2017,P,42
7,03/31/2017,-1,2,CL_05/17/2017_P_42,05/17/2017,P,42
7,03/31/2017,1,4,CL_05/17/2017_P_48.5,05/17/2017,P,48.5
7,03/31/2017,-1,2,CL_05/17/2017_P_53,05/17/2017,P,53
8,03/31/2017,1,2,CL_06/15/2017_P_55.5,06/15/2017,P,55.5
8,03/31/2017,-1,4,CL_06/15/2017_P_50.5,06/15/2017,P,50.5
8,03/31/2017,1,2,CL_06/15/2017_P_43,06/15/2017,P,43
8,04/10/2017,-1,2,CL_06/15/2017_P_43,06/15/2017,P,43
8,04/10/2017,1,4,CL_06/15/2017_P_50.5,06/15/2017,P,50.5
8,04/10/2017,-1,2,CL_06/15/2017_P_55.5,06/15/2017,P,55.5
9,04/10/2017,1,2,CL_06/15/2017_P_57.5,06/15/2017,P,57.5
9,04/10/2017,-1,4,CL_06/15/2017_P_52.5,06/15/2017,P,52.5
9,04/10/2017,1,2,CL_06/15/2017_P_45.5,06/15/2017,P,45.5
9,04/19/2017,-1,2,CL_06/15/2017_P_45.5,06/15/2017,P,45.5
9,04/19/2017,1,4,CL_06/15/2017_P_52.5,06/15/2017,P,52.5
9,04/19/2017,-1,2,CL_06/15/2017_P_57.5,06/15/2017,P,57.5
10,04/19/2017,1,2,CL_06/15/2017_P_55,06/15/2017,P,55
10,04/19/2017,-1,4,CL_06/15/2017_P_50,06/15/2017,P,50
10,04/19/2017,1,2,CL_06/15/2017_P_43.5,06/15/2017,P,43.5
10,04/27/2017,-1,2,CL_06/15/2017_P_43.5,06/15/2017,P,43.5
10,04/27/2017,1,4,CL_06/15/2017_P_50,06/15/2017,P,50
10,04/27/2017,-1,2,CL_06/15/2017_P_55,06/15/2017,P,55
11,04/27/2017,1,2,CL_06/15/2017_P_52.5,06/15/2017,P,52.5
11,04/27/2017,-1,4,CL_06/15/2017_P_48.5,06/15/2017,P,48.5
11,04/27/2017,1,2,CL_06/15/2017_P_42.5,06/15/2017,P,42.5
11,05/02/2017,-1,2,CL_06/15/2017_P_42.5,06/15/2017,P,42.5
11,05/02/2017,1,4,CL_06/15/2017_P_48.5,06/15/2017,P,48.5
11,05/02/2017,-1,2,CL_06/15/2017_P_52.5,06/15/2017,P,52.5
12,05/02/2017,1,2,CL_07/17/2017_P_52.5,07/17/2017,P,52.5
12,05/02/2017,-1,4,CL_07/17/2017_P_47,07/17/2017,P,47
12,05/02/2017,1,2,CL_07/17/2017_P_40,07/17/2017,P,40
12,05/04/2017,-1,2,CL_07/17/2017_P_40,07/17/2017,P,40
12,05/04/2017,1,4,CL_07/17/2017_P_47,07/17/2017,P,47
12,05/04/2017,-1,2,CL_07/17/2017_P_52.5,07/17/2017,P,52.5
13,05/04/2017,1,2,CL_07/17/2017_P_50.5,07/17/2017,P,50.5
13,05/04/2017,-1,4,CL_07/17/2017_P_45,07/17/2017,P,45
13,05/04/2017,1,2,CL_07/17/2017_P_38.5,07/17/2017,P,38.5
13,05/10/2017,-1,2,CL_07/17/2017_P_38.5,07/17/2017,P,38.5
13,05/10/2017,1,4,CL_07/17/2017_P_45,07/17/2017,P,45
13,05/10/2017,-1,2,CL_07/17/2017_P_50.5,07/17/2017,P,50.5
14,05/10/2017,1,2,CL_07/17/2017_P_52.5,07/17/2017,P,52.5
14,05/10/2017,-1,4,CL_07/17/2017_P_47,07/17/2017,P,47
14,05/10/2017,1,2,CL_07/17/2017_P_40,07/17/2017,P,40
14,05/18/2017,-1,2,CL_07/17/2017_P_40,07/17/2017,P,40
14,05/18/2017,1,4,CL_07/17/2017_P_47,07/17/2017,P,47
14,05/18/2017,-1,2,CL_07/17/2017_P_52.5,07/17/2017,P,52.5
15,05/18/2017,1,2,CL_07/17/2017_P_54,07/17/2017,P,54
15,05/18/2017,-1,4,CL_07/17/2017_P_49,07/17/2017,P,49
15,05/18/2017,1,2,CL_07/17/2017_P_42,07/17/2017,P,42
15,05/23/2017,-1,2,CL_07/17/2017_P_42,07/17/2017,P,42
15,05/23/2017,1,4,CL_07/17/2017_P_49,07/17/2017,P,49
15,05/23/2017,-1,2,CL_07/17/2017_P_54,07/17/2017,P,54
16,05/23/2017,1,2,CL_07/17/2017_P_55,07/17/2017,P,55
16,05/23/2017,-1,4,CL_07/17/2017_P_50.5,07/17/2017,P,50.5
16,05/23/2017,1,2,CL_07/17/2017_P_44,07/17/2017,P,44
16,05/25/2017,-1,2,CL_07/17/2017_P_44,07/17/2017,P,44
16,05/25/2017,1,4,CL_07/17/2017_P_50.5,07/17/2017,P,50.5
16,05/25/2017,-1,2,CL_07/17/2017_P_55,07/17/2017,P,55
17,05/25/2017,1,2,CL_07/17/2017_P_52.5,07/17/2017,P,52.5
17,05/25/2017,-1,4,CL_07/17/2017_P_48,07/17/2017,P,48
17,05/25/2017,1,2,CL_07/17/2017_P_42,07/17/2017,P,42
17,06/05/2017,-1,2,CL_07/17/2017_P_42,07/17/2017,P,42
