timestamp,portfolio_equity
01/03/2017,9981.2
01/04/2017,10021.2
01/05/2017,10101.2
01/06/2017,10121.2
01/09/2017,10221.2
01/10/2017,10201.2
01/11/2017,10301.2
01/12/2017,10361.2
01/13/2017,10501.2
01/17/2017,10621.2
01/18/2017,10601.2
01/19/2017,10721.2
01/20/2017,10741.2
01/23/2017,10883.6
01/24/2017,10943.6
01/25/2017,10963.6
01/26/2017,11023.6
01/27/2017,11143.6
01/30/2017,11183.6
01/31/2017,11203.6
02/01/2017,11183.6
02/02/2017,11323.6
02/03/2017,11383.6
02/06/2017,11666
02/07/2017,11806
02/08/2017,11886
02/09/2017,12046
02/10/2017,12006
02/13/2017,12286
02/14/2017,12046
02/15/2017,12086
02/16/2017,12266
02/17/2017,12348.4
02/21/2017,12468.4
02/22/2017,12628.4
02/23/2017,12528.4
02/24/2017,12728.4
02/27/2017,12868.4
02/28/2017,12950.8
03/01/2017,13090.8
03/02/2017,13050.8
03/03/2017,13030.8
03/06/2017,12990.8
03/07/2017,12950.8
03/08/2017,12293.2
03/09/2017,12393.2
03/10/2017,12393.2
03/13/2017,12335.6
03/14/2017,12355.6
03/15/2017,12515.6
03/16/2017,12815.6
03/17/2017,12855.6
03/20/2017,13018
03/21/2017,12938
03/22/2017,13018
03/23/2017,13018
03/24/2017,13038
03/27/2017,13058
03/28/2017,13358
03/29/2017,13318
03/30/2017,13318
03/31/2017,13280.4
04/03/2017,13380.4
04/04/2017,13300.4
04/05/2017,13400.4
04/06/2017,13460.4
04/07/2017,13380.4
04/10/2017,13262.8
04/11/2017,13302.8
04/12/2017,13342.8
04/13/2017,13442.8
04/17/2017,13602.8
04/18/2017,13602.8
04/19/2017,13425.2
04/20/2017,13605.2
04/21/2017,13605.2
04/24/2017,13605.2
04/25/2017,13745.2
04/26/2017,13885.2
04/27/2017,13767.6
04/28/2017,13967.6
05/01/2017,14007.6
05/02/2017,13870
05/03/2017,13930
05/04/2017,13672.4
05/05/2017,13632.4
05/08/2017,13692.4
05/09/2017,13752.4
05/10/2017,13614.8
05/11/2017,13654.8
05/12/2017,13694.8
05/15/2017,13594.8
05/16/2017,13654.8
05/17/2017,13574.8
05/18/2017,13537.2
05/19/2017,13577.2
05/22/2017,13657.2
05/23/2017,13619.6
05/24/2017,13679.6
05/25/2017,13582
05/26/2017,13522
05/30/2017,13702
05/31/2017,13762
06/01/2017,13962
06/02/2017,13942
06/05/2017,13924.4
06/06/2017,13904.4
06/07/2017,13964.4
06/08/2017,14024.4
06/09/2017,14184.4
06/12/2017,14244.4
06/13/2017,14284.4
06/14/2017,14226.8
06/15/2017,14466.8
06/16/2017,14646.8
06/19/2017,14706.8
06/20/2017,14566.8
06/21/2017,14249.2
06/22/2017,14329.2
06/23/2017,14329.2
06/26/2017,14429.2
06/27/2017,14311.6
06/28/2017,14331.6
06/29/2017,14391.6
06/30/2017,14274
07/03/2017,14314
07/05/2017,14274
07/06/2017,14354
07/07/2017,14176.4
07/10/2017,14216.4
07/11/2017,14096.4
07/12/2017,14136.4
07/13/2017,14058.8
07/14/2017,14158.8
07/17/2017,14258.8
07/18/2017,14338.8
07/19/2017,14378.8
07/20/2017,14438.8
07/21/2017,14458.8
07/24/2017,14561.2
07/25/2017,14343.6
07/26/2017,14383.6
07/27/2017,14243.6
07/28/2017,14246
07/31/2017,14326
08/01/2017,14306
08/02/2017,14426
08/03/2017,14566
08/04/2017,14726
08/07/2017,14746
08/08/2017,14728.4
08/09/2017,14768.4
08/10/2017,14788.4
08/11/2017,14848.4
08/14/2017,14730.8
08/15/2017,14870.8
08/16/2017,14910.8
08/17/2017,15030.8
08/18/2017,15090.8
08/21/2017,15250.8
08/22/2017,15330.8
08/23/2017,15330.8
08/24/2017,15353.2
08/25/2017,15373.2
08/28/2017,15273.2
08/29/2017,15393.2
08/30/2017,15375.6
08/31/2017,15195.6
09/01/2017,15235.6
09/05/2017,15118
09/06/2017,15058
09/07/2017,15138
09/08/2017,15238
09/11/2017,15418
09/12/2017,15438
09/13/2017,15458
09/14/2017,15318
09/15/2017,15298
09/18/2017,15478
09/19/2017,15658
09/20/2017,15520.4
09/21/2017,15460.4
09/22/2017,15540.4
09/25/2017,15282.8
09/26/2017,15342.8
09/27/2017,15462.8
09/28/2017,15522.8
09/29/2017,15542.8
10/02/2017,15505.2
10/03/2017,15545.2
10/04/2017,15585.2
10/05/2017,15625.2
10/06/2017,15665.2
10/09/2017,15785.2
10/10/2017,15805.2
10/11/2017,15825.2
10/12/2017,16005.2
10/13/2017,15925.2
10/16/2017,16045.2
10/17/2017,16045.2
10/18/2017,16065.2
10/19/2017,16187.6
10/20/2017,16187.6
10/23/2017,16247.6
10/24/2017,16207.6
10/25/2017,16207.6
10/26/2017,16190
10/27/2017,16090
10/30/2017,16052.4
10/31/2017,16052.4
11/01/2017,16072.4
11/02/2017,16112.4
11/03/2017,16012.4
11/06/2017,15654.8
11/07/2017,15734.8
11/08/2017,15834.8
11/09/2017,15874.8
11/10/2017,15974.8
11/13/2017,16054.8
11/14/2017,16057.2
11/15/2017,16237.2
11/16/2017,16277.2
11/17/2017,16297.2
11/20/2017,16417.2
11/21/2017,16337.2
11/22/2017,15899.6
11/24/2017,15819.6
11/27/2017,15899.6
11/28/2017,15819.6
