timestamp,option_contract,trade_id
0,01/03/2017,CL_03/16/2017_P_58.5
0,01/03/2017,CL_03/16/2017_P_53
0,01/03/2017,CL_03/16/2017_P_44.5
0,01/23/2017,CL_03/16/2017_P_44.5
0,01/23/2017,CL_03/16/2017_P_53
0,01/23/2017,CL_03/16/2017_P_58.5
1,01/23/2017,CL_03/16/2017_P_57
1,01/23/2017,CL_03/16/2017_P_52.5
1,01/23/2017,CL_03/16/2017_P_45.5
1,02/06/2017,CL_03/16/2017_P_45.5
1,02/06/2017,CL_03/16/2017_P_52.5
1,02/06/2017,CL_03/16/2017_P_57
2,02/06/2017,CL_04/17/2017_P_58.5
2,02/06/2017,CL_04/17/2017_P_53
2,02/06/2017,CL_04/17/2017_P_45.5
2,02/17/2017,CL_04/17/2017_P_45.5
2,02/17/2017,CL_04/17/2017_P_53
2,02/17/2017,CL_04/17/2017_P_58.5
3,02/17/2017,CL_04/17/2017_P_57.5
3,02/17/2017,CL_04/17/2017_P_53
3,02/17/2017,CL_04/17/2017_P_47
3,02/28/2017,CL_04/17/2017_P_47
3,02/28/2017,CL_04/17/2017_P_53
3,02/28/2017,CL_04/17/2017_P_57.5
4,02/28/2017,CL_05/17/2017_P_58.5
4,02/28/2017,CL_05/17/2017_P_53.5
4,02/28/2017,CL_05/17/2017_P_46.5
4,03/08/2017,CL_05/17/2017_P_46.5
4,03/08/2017,CL_05/17/2017_P_53.5
4,03/08/2017,CL_05/17/2017_P_58.5
5,03/08/2017,CL_05/17/2017_P_55.5
5,03/08/2017,CL_05/17/2017_P_50
5,03/08/2017,CL_05/17/2017_P_42.5
5,03/13/2017,CL_05/17/2017_P_42.5
5,03/13/2017,CL_05/17/2017_P_50
5,03/13/2017,CL_05/17/2017_P_55.5
6,03/13/2017,CL_05/17/2017_P_53.5
6,03/13/2017,CL_05/17/2017_P_48
6,03/13/2017,CL_05/17/2017_P_41
6,03/20/2017,CL_05/17/2017_P_41
6,03/20/2017,CL_05/17/2017_P_48
6,03/20/2017,CL_05/17/2017_P_53.5
7,03/20/2017,CL_05/17/2017_P_53
7,03/20/2017,CL_05/17/2017_P_48.5
7,03/20/2017,CL_05/17/2017_P_42
7,03/31/2017,CL_05/17/2017_P_42
7,03/31/2017,CL_05/17/2017_P_48.5
7,03/31/2017,CL_05/17/2017_P_53
8,03/31/2017,CL_06/15/2017_P_55.5
8,03/31/2017,CL_06/15/2017_P_50.5
8,03/31/2017,CL_06/15/2017_P_43
8,04/10/2017,CL_06/15/2017_P_43
8,04/10/2017,CL_06/15/2017_P_50.5
8,04/10/2017,CL_06/15/2017_P_55.5
9,04/10/2017,CL_06/15/2017_P_57.5
9,04/10/2017,CL_06/15/2017_P_52.5
9,04/10/2017,CL_06/15/2017_P_45.5
9,04/19/2017,CL_06/15/2017_P_45.5
9,04/19/2017,CL_06/15/2017_P_52.5
9,04/19/2017,CL_06/15/2017_P_57.5
10,04/19/2017,CL_06/15/2017_P_55
10,04/19/2017,CL_06/15/2017_P_50
10,04/19/2017,CL_06/15/2017_P_43.5
10,04/27/2017,CL_06/15/2017_P_43.5
10,04/27/2017,CL_06/15/2017_P_50
10,04/27/2017,CL_06/15/2017_P_55
11,04/27/2017,CL_06/15/2017_P_52.5
11,04/27/2017,CL_06/15/2017_P_48.5
11,04/27/2017,CL_06/15/2017_P_42.5
11,05/02/2017,CL_06/15/2017_P_42.5
11,05/02/2017,CL_06/15/2017_P_48.5
11,05/02/2017,CL_06/15/2017_P_52.5
12,05/02/2017,CL_07/17/2017_P_52.5
12,05/02/2017,CL_07/17/2017_P_47
12,05/02/2017,CL_07/17/2017_P_40
12,05/04/2017,CL_07/17/2017_P_40
12,05/04/2017,CL_07/17/2017_P_47
12,05/04/2017,CL_07/17/2017_P_52.5
13,05/04/2017,CL_07/17/2017_P_50.5
13,05/04/2017,CL_07/17/2017_P_45
13,05/04/2017,CL_07/17/2017_P_38.5
13,05/10/2017,CL_07/17/2017_P_38.5
13,05/10/2017,CL_07/17/2017_P_45
13,05/10/2017,CL_07/17/2017_P_50.5
14,05/10/2017,CL_07/17/2017_P_52.5
14,05/10/2017,CL_07/17/2017_P_47
14,05/10/2017,CL_07/17/2017_P_40
14,05/18/2017,CL_07/17/2017_P_40
14,05/18/2017,CL_07/17/2017_P_47
14,05/18/2017,CL_07/17/2017_P_52.5
15,05/18/2017,CL_07/17/2017_P_54
15,05/18/2017,CL_07/17/2017_P_49
15,05/18/2017,CL_07/17/2017_P_42
15,05/23/2017,CL_07/17/2017_P_42
15,05/23/2017,CL_07/17/2017_P_49
15,05/23/2017,CL_07/17/2017_P_54
16,05/23/2017,CL_07/17/2017_P_55
16,05/23/2017,CL_07/17/2017_P_50.5
16,05/23/2017,CL_07/17/2017_P_44
16,05/25/2017,CL_07/17/2017_P_44
16,05/25/2017,CL_07/17/2017_P_50.5
16,05/25/2017,CL_07/17/2017_P_55
17,05/25/2017,CL_07/17/2017_P_52.5
17,05/25/2017,CL_07/17/2017_P_48
17,05/25/2017,CL_07/17/2017_P_42
17,06/05/2017,CL_07/17/2017_P_42
17,06/05/2017,CL_07/17/2017_P_48
17,06/05/2017,CL_07/17/2017_P_52.5
18,06/05/2017,CL_08/17/2017_P_52
18,06/05/2017,CL_08/17/2017_P_46.5
18,06/05/2017,CL_08/17/2017_P_39.5
18,06/14/2017,CL_08/17/2017_P_39.5
18,06/14/2017,CL_08/17/2017_P_46.5
18,06/14/2017,CL_08/17/2017_P_52
19,06/14/2017,CL_08/17/2017_P_48.5
19,06/14/2017,CL_08/17/2017_P_44
19,06/14/2017,CL_08/17/2017_P_38
19,06/21/2017,CL_08/17/2017_P_38
19,06/21/2017,CL_08/17/2017_P_44
19,06/21/2017,CL_08/17/2017_P_48.5
20,06/21/2017,CL_08/17/2017_P_46
20,06/21/2017,CL_08/17/2017_P_42
20,06/21/2017,CL_08/17/2017_P_36.5
20,06/27/2017,CL_08/17/2017_P_36.5
20,06/27/2017,CL_08/17/2017_P_42
20,06/27/2017,CL_08/17/2017_P_46
21,06/27/2017,CL_08/17/2017_P_47.5
21,06/27/2017,CL_08/17/2017_P_43.5
21,06/27/2017,CL_08/17/2017_P_38.5
21,06/30/2017,CL_08/17/2017_P_38.5
21,06/30/2017,CL_08/17/2017_P_43.5
21,06/30/2017,CL_08/17/2017_P_47.5
22,06/30/2017,CL_09/15/2017_P_50.5
22,06/30/2017,CL_09/15/2017_P_45.5
22,06/30/2017,CL_09/15/2017_P_39
22,07/07/2017,CL_09/15/2017_P_39
22,07/07/2017,CL_09/15/2017_P_45.5
22,07/07/2017,CL_09/15/2017_P_50.5
23,07/07/2017,CL_09/15/2017_P_48.5
23,07/07/2017,CL_09/15/2017_P_43.5
23,07/07/2017,CL_09/15/2017_P_37.5
23,07/13/2017,CL_09/15/2017_P_37.5
23,07/13/2017,CL_09/15/2017_P_43.5
23,07/13/2017,CL_09/15/2017_P_48.5
24,07/13/2017,CL_09/15/2017_P_50
24,07/13/2017,CL_09/15/2017_P_45.5
24,07/13/2017,CL_09/15/2017_P_39.5
24,07/24/2017,CL_09/15/2017_P_39.5
24,07/24/2017,CL_09/15/2017_P_45.5
24,07/24/2017,CL_09/15/2017_P_50
25,07/24/2017,CL_09/15/2017_P_49.5
25,07/24/2017,CL_09/15/2017_P_45.5
25,07/24/2017,CL_09/15/2017_P_40.5
25,07/25/2017,CL_09/15/2017_P_40.5
25,07/25/2017,CL_09/15/2017_P_45.5
25,07/25/2017,CL_09/15/2017_P_49.5
26,07/25/2017,CL_09/15/2017_P_51
26,07/25/2017,CL_09/15/2017_P_47
26,07/25/2017,CL_09/15/2017_P_41.5
26,07/28/2017,CL_09/15/2017_P_41.5
26,07/28/2017,CL_09/15/2017_P_47
26,07/28/2017,CL_09/15/2017_P_51
27,07/28/2017,CL_09/15/2017_P_53
27,07/28/2017,CL_09/15/2017_P_49
27,07/28/2017,CL_09/15/2017_P_43.5
27,08/08/2017,CL_09/15/2017_P_43.5
27,08/08/2017,CL_09/15/2017_P_49
27,08/08/2017,CL_09/15/2017_P_53
28,08/08/2017,CL_10/17/2017_P_53.5
28,08/08/2017,CL_10/17/2017_P_48.5
28,08/08/2017,CL_10/17/2017_P_42
28,08/14/2017,CL_10/17/2017_P_42
28,08/14/2017,CL_10/17/2017_P_48.5
28,08/14/2017,CL_10/17/2017_P_53.5
29,08/14/2017,CL_10/17/2017_P_51.5
29,08/14/2017,CL_10/17/2017_P_47
29,08/14/2017,CL_10/17/2017_P_40.5
29,08/24/2017,CL_10/17/2017_P_40.5
29,08/24/2017,CL_10/17/2017_P_47
29,08/24/2017,CL_10/17/2017_P_51.5
30,08/24/2017,CL_10/17/2017_P_51
30,08/24/2017,CL_10/17/2017_P_47
30,08/24/2017,CL_10/17/2017_P_41.5
30,08/30/2017,CL_10/17/2017_P_41.5
30,08/30/2017,CL_10/17/2017_P_47
30,08/30/2017,CL_10/17/2017_P_51
31,08/30/2017,CL_11/15/2017_P_51
31,08/30/2017,CL_11/15/2017_P_46
31,08/30/2017,CL_11/15/2017_P_39.5
31,09/05/2017,CL_11/15/2017_P_39.5
31,09/05/2017,CL_11/15/2017_P_46
31,09/05/2017,CL_11/15/2017_P_51
32,09/05/2017,CL_11/15/2017_P_53.5
32,09/05/2017,CL_11/15/2017_P_48.5
32,09/05/2017,CL_11/15/2017_P_42
32,09/20/2017,CL_11/15/2017_P_42
32,09/20/2017,CL_11/15/2017_P_48.5
32,09/20/2017,CL_11/15/2017_P_53.5
33,09/20/2017,CL_11/15/2017_P_54
33,09/20/2017,CL_11/15/2017_P_50
33,09/20/2017,CL_11/15/2017_P_44.5
33,09/25/2017,CL_11/15/2017_P_44.5
33,09/25/2017,CL_11/15/2017_P_50
33,09/25/2017,CL_11/15/2017_P_54
34,09/25/2017,CL_11/15/2017_P_55.5
34,09/25/2017,CL_11/15/2017_P_51.5
34,09/25/2017,CL_11/15/2017_P_46
34,10/02/2017,CL_11/15/2017_P_46
34,10/02/2017,CL_11/15/2017_P_51.5
34,10/02/2017,CL_11/15/2017_P_55.5
35,10/02/2017,CL_12/14/2017_P_55
35,10/02/2017,CL_12/14/2017_P_50
35,10/02/2017,CL_12/14/2017_P_43
35,10/19/2017,CL_12/14/2017_P_43
35,10/19/2017,CL_12/14/2017_P_50
35,10/19/2017,CL_12/14/2017_P_55
36,10/19/2017,CL_12/14/2017_P_55
36,10/19/2017,CL_12/14/2017_P_50.5
36,10/19/2017,CL_12/14/2017_P_44.5
36,10/26/2017,CL_12/14/2017_P_44.5
36,10/26/2017,CL_12/14/2017_P_50.5
36,10/26/2017,CL_12/14/2017_P_55
37,10/26/2017,CL_12/14/2017_P_56
37,10/26/2017,CL_12/14/2017_P_52
37,10/26/2017,CL_12/14/2017_P_46.5
37,10/30/2017,CL_12/14/2017_P_46.5
37,10/30/2017,CL_12/14/2017_P_52
37,10/30/2017,CL_12/14/2017_P_56
38,10/30/2017,CL_01/17/2018_P_58
38,10/30/2017,CL_01/17/2018_P_53.5
38,10/30/2017,CL_01/17/2018_P_46.5
38,11/06/2017,CL_01/17/2018_P_46.5
38,11/06/2017,CL_01/17/2018_P_53.5
38,11/06/2017,CL_01/17/2018_P_58
39,11/06/2017,CL_01/17/2018_P_61.5
39,11/06/2017,CL_01/17/2018_P_56.5
39,11/06/2017,CL_01/17/2018_P_50
39,11/14/2017,CL_01/17/2018_P_50
39,11/14/2017,CL_01/17/2018_P_56.5
39,11/14/2017,CL_01/17/2018_P_61.5
40,11/14/2017,CL_01/17/2018_P_59.5
40,11/14/2017,CL_01/17/2018_P_55
40,11/14/2017,CL_01/17/2018_P_48.5
40,11/22/2017,CL_01/17/2018_P_48.5
40,11/22/2017,CL_01/17/2018_P_55
40,11/22/2017,CL_01/17/2018_P_59.5
41,11/22/2017,CL_01/17/2018_P_61
41,11/22/2017,CL_01/17/2018_P_57
41,11/22/2017,CL_01/17/2018_P_51
41,12/04/2017,CL_01/17/2018_P_51
