Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2014-12-31,1199.8,1203.9,1179.5,1184.1,71734.0,217101.0
2014-12-30,1182.9,1210.9,1180.5,1200.4,142350.0,216738.0
2014-12-29,1194.9,1197.5,1178.6,1181.9,86152.0,222140.0
2014-12-26,1175.2,1199.1,1175.2,1195.3,67481.0,220568.0
2014-12-24,1176.8,1181.2,1172.7,1173.5,43632.0,224242.0
2014-12-23,1176.1,1184.9,1172.4,1178.0,105289.0,224241.0
2014-12-22,1196.0,1203.6,1170.7,1179.8,131877.0,223967.0
2014-12-19,1198.0,1201.5,1193.2,1196.0,72232.0,223253.0
2014-12-18,1189.4,1213.9,1188.5,1194.8,137305.0,225547.0
2014-12-17,1195.3,1203.1,1182.0,1194.5,169845.0,226492.0
2014-12-16,1195.4,1223.9,1187.8,1194.3,232325.0,231650.0
2014-12-15,1222.0,1225.0,1191.3,1207.7,152827.0,231692.0
2014-12-12,1227.9,1228.9,1214.8,1222.5,121161.0,229702.0
2014-12-11,1226.2,1233.4,1216.4,1225.6,143670.0,233726.0
2014-12-10,1231.2,1238.9,1225.2,1229.4,143306.0,237167.0
2014-12-09,1203.8,1239.0,1199.5,1232.0,241259.0,230922.0
2014-12-08,1191.2,1209.3,1187.3,1194.9,107409.0,234103.0
2014-12-05,1205.9,1208.5,1186.4,1190.4,157171.0,233468.0
2014-12-04,1209.3,1213.5,1201.1,1207.7,117717.0,235749.0
2014-12-03,1197.6,1215.0,1193.5,1208.7,145102.0,232811.0
2014-12-02,1212.6,1212.6,1191.4,1199.4,168729.0,236278.0
2014-12-01,1159.4,1221.0,1141.7,1218.1,342942.0,238915.0
2014-11-28,1197.64,1199.1,1163.88,1175.44,205812.6,191704.6
2014-11-26,1201.16,1201.36,1194.24,1197.14,103121.0,149977.6
2014-11-25,1197.9,1202.52,1189.4,1197.38,177539.2,145861.8
2014-11-24,1200.06,1203.94,1192.32,1195.88,141043.4,159848.0
2014-11-21,1194.0,1207.6,1186.1,1197.7,200342.0,162509.0
