Date,Open,High,Low,Close,Volume
31-Dec-14,1199.8,1203.9,1179.5,1184.1,71734
30-Dec-14,1182.9,1210.9,1180.5,1200.4,142350
29-Dec-14,1194.9,1197.5,1178.6,1181.9,86152
26-Dec-14,1175.2,1199.1,1175.2,1195.3,67481
24-Dec-14,1176.8,1181.2,1172.7,1173.5,43632
23-Dec-14,1176.1,1184.9,1172.4,1178,105289
22-Dec-14,1196,1203.6,1170.7,1179.8,131877
19-Dec-14,1198,1201.5,1193.2,1196,72232
18-Dec-14,1189.4,1213.9,1188.5,1194.8,137305
17-Dec-14,1195.3,1203.1,1182,1194.5,169845
16-Dec-14,1195.4,1223.9,1187.8,1194.3,232325
15-Dec-14,1222,1225,1191.3,1207.7,152827
12-Dec-14,1227.9,1228.9,1214.8,1222.5,121161
11-Dec-14,1226.2,1233.4,1216.4,1225.6,143670
10-Dec-14,1231.2,1238.9,1225.2,1229.4,143306
09-Dec-14,1203.8,1239,1199.5,1232,241259
08-Dec-14,1191.2,1209.3,1187.3,1194.9,107409
05-Dec-14,1205.9,1208.5,1186.4,1190.4,157171
04-Dec-14,1209.3,1213.5,1201.1,1207.7,117717
03-Dec-14,1197.6,1215,1193.5,1208.7,145102
02-Dec-14,1212.6,1212.6,1191.4,1199.4,168729
01-Dec-14,1159.4,1221,1141.7,1218.1,342942
28-Nov-14,1197.64,1199.1,1163.88,1175.44,205812.6
26-Nov-14,1201.16,1201.36,1194.24,1197.14,103121
25-Nov-14,1197.9,1202.52,1189.4,1197.38,177539.2
24-Nov-14,1200.06,1203.94,1192.32,1195.88,141043.4
21-Nov-14,1194,1207.6,1186.1,1197.7,200342
20-Nov-14,1183.1,1196.6,1176.2,1190.9,187658
19-Nov-14,1196.5,1201.7,1173.9,1193.9,266464
18-Nov-14,1185.6,1204.1,1182.7,1197.1,171032
17-Nov-14,1185.5,1193.6,1180.8,1183.5,199789
14-Nov-14,1161.8,1192.9,1146,1185.6,294716
13-Nov-14,1161.1,1167.4,1153,1161.5,188016
12-Nov-14,1163,1169.4,1156.5,1159.1,184039
11-Nov-14,1151.5,1172.5,1145.5,1163,187604
10-Nov-14,1176.8,1177.5,1146.7,1159.8,199368
07-Nov-14,1141.2,1179,1130.4,1169.8,298930
06-Nov-14,1140.8,1149,1137.2,1142.6,168999
05-Nov-14,1168.4,1169.3,1137.1,1145.7,261388
04-Nov-14,1164.6,1175,1163.4,1167.7,135461
03-Nov-14,1171.1,1173.4,1161,1169.8,129587
31-Oct-14,1199.5,1202.4,1160.5,1171.6,302688
30-Oct-14,1211.2,1216.5,1195.5,1198.6,211172
29-Oct-14,1227.8,1230.4,1208.2,1224.9,131775
28-Oct-14,1225.8,1235.5,1222.2,1229.4,124427
27-Oct-14,1230.6,1232.1,1225.2,1229.3,86585
24-Oct-14,1233.5,1234.7,1228.7,1231.8,93796
23-Oct-14,1241.7,1244.9,1226.3,1229.1,140411
22-Oct-14,1248.9,1250.2,1240.7,1245.5,113736
21-Oct-14,1246.8,1255.6,1245.7,1251.7,151486
20-Oct-14,1239.1,1249.3,1234.9,1244.7,96510
17-Oct-14,1239.5,1242.1,1232,1239,117747
16-Oct-14,1242.2,1245.6,1235.2,1241.2,180731
15-Oct-14,1233.3,1250.3,1222,1244.8,258481
14-Oct-14,1237.3,1238.6,1231.1,1234.3,113958
13-Oct-14,1224.8,1238,1223.6,1230,120106
10-Oct-14,1224,1225.7,1217.6,1221.7,121796
09-Oct-14,1221.1,1234,1219.3,1225.3,165700
08-Oct-14,1209.8,1224.5,1205.1,1206,192382
07-Oct-14,1207.8,1214.1,1203,1212.4,143311
06-Oct-14,1192,1209.9,1183.3,1207.3,148092
03-Oct-14,1213.9,1215.7,1190.3,1192.9,186314
02-Oct-14,1213.4,1224,1209.1,1215.1,149009
01-Oct-14,1209.4,1220,1205,1215.5,146980
30-Sep-14,1215.52,1220.2,1204.24,1211.38,147139.2
29-Sep-14,1217.98,1223.22,1215.06,1218.28,66293.6
26-Sep-14,1221.44,1231.08,1212.32,1214.62,71585
25-Sep-14,1216.74,1224.58,1206.12,1221.34,44455.6
24-Sep-14,1222.8,1225.5,1215.3,1218.6,3059
23-Sep-14,1215.7,1236.1,1214.6,1221,4567
22-Sep-14,1215.5,1219.8,1208.2,1216.8,1886
19-Sep-14,1225.8,1227.7,1213.5,1215.5,2649
18-Sep-14,1221.9,1227.3,1215.7,1225.9,2959
17-Sep-14,1234.1,1239.1,1221.1,1234.9,2745
16-Sep-14,1233,1242.2,1231.7,1235.7,5190
15-Sep-14,1227.5,1238,1225.3,1234.1,5132
12-Sep-14,1239.9,1241.2,1227.1,1230.4,3876
11-Sep-14,1249.3,1249.6,1234.5,1237.9,5424
10-Sep-14,1254.3,1257.1,1243.5,1244.1,3792
09-Sep-14,1255.8,1257.5,1247.2,1247.3,5743
08-Sep-14,1268.5,1271.2,1251.1,1253.2,7734
