Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
13/10/2016,21/10/2016,1010,Put,0.2,-0.051,0.003,0.33,-0.563
13/10/2016,21/10/2016,1020,Put,0.08,-0.07,0.004,0.44,-0.744
13/10/2016,21/10/2016,1030,Call,181.4,99.928,0.004,0.453,-1.326
13/10/2016,21/10/2016,1030,Put,0.2,-0.096,0.005,0.59,-0.987
13/10/2016,21/10/2016,1040,Call,171.05,99.898,0.006,0.624,-1.596
13/10/2016,21/10/2016,1040,Put,0.2,-0.133,0.007,0.795,-1.315
13/10/2016,21/10/2016,1050,Call,160.9,99.854,0.008,0.863,-1.97
13/10/2016,21/10/2016,1050,Put,0.13,-0.186,0.01,1.076,-1.761
13/10/2016,21/10/2016,1060,Call,151.4,99.791,0.012,1.199,-2.487
13/10/2016,21/10/2016,1060,Put,0.17,-0.261,0.014,1.462,-2.369
13/10/2016,21/10/2016,1070,Call,141.5,99.698,0.017,1.671,-3.205
13/10/2016,21/10/2016,1070,Put,0.18,-0.368,0.019,1.995,-7.812
13/10/2016,21/10/2016,1080,Call,131.1,99.561,0.024,2.334,-4.2
13/10/2016,21/10/2016,1080,Put,0.2,-0.524,0.027,2.73,-8.416
13/10/2016,21/10/2016,1090,Call,121.2,99.36,0.035,3.265,-5.58
13/10/2016,21/10/2016,1090,Put,0.28,-0.748,0.039,3.743,-11.083
13/10/2016,21/10/2016,1100,Call,111.15,99.061,0.05,4.566,-7.486
13/10/2016,21/10/2016,1100,Put,0.35,-1.074,0.055,5.135,-13.189
13/10/2016,21/10/2016,1110,Call,101.8,98.62,0.072,6.376,-10.099
13/10/2016,21/10/2016,1110,Put,0.38,-1.549,0.078,7.04,-13.903
13/10/2016,21/10/2016,1120,Call,91.65,97.968,0.104,8.869,-13.647
13/10/2016,21/10/2016,1120,Put,0.45,-2.239,0.111,9.626,-15.771
13/10/2016,21/10/2016,1130,Call,82,97.008,0.149,12.261,-18.393
13/10/2016,21/10/2016,1130,Put,0.62,-3.242,0.156,13.095,-19.92
13/10/2016,21/10/2016,1140,Call,72.45,95.6,0.212,16.792,-24.607
13/10/2016,21/10/2016,1140,Put,0.82,-4.691,0.219,17.673,-24.355
13/10/2016,21/10/2016,1150,Call,62.6,93.557,0.298,22.693,-32.511
13/10/2016,21/10/2016,1150,Put,1.2,-6.769,0.304,23.572,-31.66
13/10/2016,21/10/2016,1160,Call,53.4,90.632,0.411,30.113,-42.164
13/10/2016,21/10/2016,1160,Put,1.81,-9.715,0.415,30.924,-41.579
13/10/2016,21/10/2016,1170,Call,44.63,86.524,0.553,38.997,-53.841
13/10/2016,21/10/2016,1170,Put,2.79,-13.821,0.555,39.672,-53.847
13/10/2016,21/10/2016,1180,Call,35.75,80.9,0.723,48.911,-63.161
13/10/2016,21/10/2016,1180,Put,4.25,-19.453,0.72,49.457,-67.003
13/10/2016,21/10/2016,1190,Call,27.82,73.457,0.908,58.847,-75.987
13/10/2016,21/10/2016,1190,Put,6.33,-26.909,0.897,59.252,-78.857
13/10/2016,21/10/2016,1200,Call,20.66,64.025,1.079,67.101,-84.798
13/10/2016,21/10/2016,1200,Put,9.14,-36.265,1.057,67.284,-86.829
13/10/2016,21/10/2016,1210,Call,14.48,52.816,1.195,71.372,-87.538
13/10/2016,21/10/2016,1210,Put,12.86,-47.234,1.16,71.378,-88.507
13/10/2016,21/10/2016,1220,Call,9.27,40.546,1.211,69.542,-80.958
13/10/2016,21/10/2016,1220,Put,17.68,-59.076,1.17,69.7,-82.296
13/10/2016,21/10/2016,1230,Call,5.25,28.407,1.101,60.854,-65.774
