Date,ExpDate,Strike,Type,Mid,Delta,Gamma,Vega,Theta
21/11/2016,16/12/2016,1070,Put,0.35,-0.631,0.016,6.171,-3.713
21/11/2016,16/12/2016,1080,Put,0.27,-0.75,0.019,7.185,-4.246
21/11/2016,16/12/2016,1090,Put,0.25,-0.893,0.023,8.374,-3.935
21/11/2016,16/12/2016,1100,Call,215.17,98.901,0.028,10.028,-6.803
21/11/2016,16/12/2016,1100,Put,0.38,-1.066,0.027,9.769,-5.508
21/11/2016,16/12/2016,1110,Call,203.85,98.692,0.033,11.66,-7.621
21/11/2016,16/12/2016,1110,Put,0.45,-1.275,0.033,11.404,-6.249
21/11/2016,16/12/2016,1120,Call,193.9,98.44,0.04,13.569,-8.555
21/11/2016,16/12/2016,1120,Put,0.62,-1.527,0.039,13.32,-8.039
21/11/2016,16/12/2016,1130,Call,183.3,98.135,0.047,15.797,-9.622
21/11/2016,16/12/2016,1130,Put,0.75,-1.832,0.047,15.562,-9.267
21/11/2016,16/12/2016,1140,Call,174.3,97.767,0.056,18.397,-10.838
21/11/2016,16/12/2016,1140,Put,0.83,-2.202,0.056,18.182,-9.948
21/11/2016,16/12/2016,1150,Call,164.5,97.321,0.067,21.424,-12.22
21/11/2016,16/12/2016,1150,Put,0.97,-2.65,0.067,21.237,-11.18
21/11/2016,16/12/2016,1160,Call,155.45,96.782,0.08,24.939,-13.786
21/11/2016,16/12/2016,1160,Put,1.15,-3.194,0.08,24.789,-12.569
21/11/2016,16/12/2016,1170,Call,144.2,96.129,0.095,29.01,-15.553
21/11/2016,16/12/2016,1170,Put,1.36,-3.854,0.095,28.905,-14.129
21/11/2016,16/12/2016,1180,Call,135.35,95.337,0.114,33.702,-17.536
21/11/2016,16/12/2016,1180,Put,1.64,-4.654,0.113,33.652,-15.999
21/11/2016,16/12/2016,1190,Call,125.45,94.38,0.135,39.084,-19.748
21/11/2016,16/12/2016,1190,Put,1.97,-5.622,0.135,39.096,-18.085
21/11/2016,16/12/2016,1200,Call,115.85,93.222,0.161,45.216,-22.194
21/11/2016,16/12/2016,1200,Put,2.42,-6.794,0.161,45.296,-20.534
21/11/2016,16/12/2016,1210,Call,106.45,91.825,0.19,52.143,-24.87
21/11/2016,16/12/2016,1210,Put,2.95,-8.207,0.19,52.296,-23.223
21/11/2016,16/12/2016,1220,Call,97.25,90.144,0.224,59.89,-27.762
21/11/2016,16/12/2016,1220,Put,3.6,-9.906,0.225,60.113,-26.135
