Date,Exp.Date,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
01/08/2007,17/08/2007,630,Put,0,-1.395,0.048,5.784,-7.647
01/08/2007,17/08/2007,640,Put,0,-1.828,0.062,7.288,-9.423
01/08/2007,17/08/2007,650,Call,0,96.64,0.098,12.125,-25.16
01/08/2007,17/08/2007,650,Put,0,-2.396,0.081,9.159,-11.574
01/08/2007,17/08/2007,660,Call,0,95.86,0.121,14.375,-27.754
01/08/2007,17/08/2007,660,Put,0,-3.139,0.104,11.469,-14.155
01/08/2007,17/08/2007,670,Call,0,94.879,0.149,17.048,-30.694
01/08/2007,17/08/2007,670,Put,0,-4.109,0.134,14.293,-17.216
01/08/2007,17/08/2007,680,Call,0,93.643,0.184,20.206,-34
01/08/2007,17/08/2007,680,Put,0,-5.369,0.171,17.706,-20.795
01/08/2007,17/08/2007,690,Call,0,92.084,0.227,23.907,-37.673
01/08/2007,17/08/2007,690,Put,0,-6.999,0.216,21.769,-24.902
01/08/2007,17/08/2007,700,Call,76.15,90.117,0.279,28.195,-41.689
01/08/2007,17/08/2007,700,Put,2.63,-9.089,0.272,26.514,-29.616
01/08/2007,17/08/2007,710,Call,66.8,87.64,0.341,33.086,-45.973
01/08/2007,17/08/2007,710,Put,3.42,-11.747,0.338,31.926,-34.171
01/08/2007,17/08/2007,720,Call,58.15,84.531,0.415,38.537,-50.387
01/08/2007,17/08/2007,720,Put,4.62,-15.088,0.415,37.907,-40.086
01/08/2007,17/08/2007,730,Call,50.05,80.655,0.5,44.417,-53.656
01/08/2007,17/08/2007,730,Put,5.95,-19.229,0.501,44.254,-44.658
01/08/2007,17/08/2007,740,Call,41.82,75.866,0.596,50.462,-58.103
01/08/2007,17/08/2007,740,Put,7.9,-24.274,0.593,50.62,-49.892
01/08/2007,17/08/2007,750,Call,34.12,70.03,0.696,56.225,-61.796
01/08/2007,17/08/2007,750,Put,10.11,-30.295,0.685,56.498,-52.879
01/08/2007,17/08/2007,760,Call,26.79,63.018,0.792,61.06,-62.953
01/08/2007,17/08/2007,760,Put,12.99,-37.297,0.769,61.226,-54.706
01/08/2007,17/08/2007,770,Call,20.81,54.897,0.865,64.031,-63.99
01/08/2007,17/08/2007,770,Put,17.08,-45.193,0.834,64.049,-55.824
01/08/2007,17/08/2007,780,Call,15.15,46.007,0.898,64.195,-60.572
01/08/2007,17/08/2007,780,Put,21.28,-53.771,0.867,64.23,-51.888
01/08/2007,17/08/2007,790,Call,10.78,36.899,0.88,61.021,-55.539
01/08/2007,17/08/2007,790,Put,26.66,-62.684,0.858,61.241,-46.091
01/08/2007,17/08/2007,800,Call,7.09,28.23,0.807,54.692,-47.078
01/08/2007,17/08/2007,800,Put,33.45,-71.462,0.8,54.976,-39.904
01/08/2007,17/08/2007,810,Call,4.46,20.595,0.693,46.139,-37.653
01/08/2007,17/08/2007,810,Put,40.23,-79.573,0.694,45.918,-27.833
01/08/2007,17/08/2007,820,Call,2.8,14.352,0.557,36.692,-29.038
01/08/2007,17/08/2007,820,Put,49.07,-86.515,0.553,35.177,-17.173
01/08/2007,17/08/2007,830,Call,1.62,9.497,0.421,27.426,-20.553
01/08/2007,17/08/2007,830,Put,57.05,-91.935,0.397,24.294,-7.354
01/08/2007,17/08/2007,840,Call,0.95,5.943,0.298,19.219,-14.294
01/08/2007,17/08/2007,840,Put,66.68,-95.725,0.252,14.808,0.51
01/08/2007,17/08/2007,850,Call,0.63,3.506,0.197,12.6,-10.679
01/08/2007,17/08/2007,850,Put,76.6,-98.044,0.137,7.761,5.913
01/08/2007,17/08/2007,860,Call,0.25,1.943,0.122,7.71,-5.206
01/08/2007,17/08/2007,860,Put,85.95,-99.253,0.062,3.387,9.04
01/08/2007,17/08/2007,870,Call,0.2,1.009,0.07,4.394,-4.429
01/08/2007,17/08/2007,870,Put,96,-99.771,0.023,1.183,10.546
01/08/2007,17/08/2007,880,Call,0.13,0.489,0.037,2.326,-1.568
01/08/2007,17/08/2007,880,Put,105.8,-99.947,0.006,0.314,11.166
01/08/2007,17/08/2007,890,Call,0.06,0.221,0.018,1.141,-0.739
01/08/2007,17/08/2007,890,Put,116.05,-99.991,0.001,0.06,11.423
01/08/2007,17/08/2007,900,Call,0.17,0.092,0.008,0.518,-4.005
01/08/2007,17/08/2007,900,Put,125.45,-99.999,0,0.007,11.575
01/08/2007,17/08/2007,910,Call,0.12,0.036,0.004,0.216,-0.128
01/08/2007,17/08/2007,910,Put,135.5,-100,0,0.001,11.707
01/08/2007,17/08/2007,920,Call,0.08,0.013,0.001,0.083,-0.047
01/08/2007,17/08/2007,920,Put,145.9,-100,0,0,11.835
01/08/2007,17/08/2007,930,Call,-1,0.004,0,0.029,-0.016
01/08/2007,17/08/2007,930,Put,155.8,-100,0,0,11.964
01/08/2007,17/08/2007,940,Call,0,0.001,0,0.009,-0.005
01/08/2007,17/08/2007,940,Put,165.85,-100,0,0,12.093
01/08/2007,17/08/2007,950,Call,0.2,0,0,0.003,-0.001
01/08/2007,17/08/2007,950,Put,175.45,-100,0,0,12.221
01/08/2007,17/08/2007,960,Call,0.08,0,0,0.001,0
01/08/2007,17/08/2007,960,Put,185.5,-100,0,0,12.35
01/08/2007,17/08/2007,970,Call,0,0,0,0,0
01/08/2007,17/08/2007,970,Put,0,-100,0,0,12.479
01/08/2007,17/08/2007,980,Call,0,0,0,0,0
01/08/2007,17/08/2007,980,Put,0,-100,0,0,12.607
