Date,ExpDate,Strike Price,Call/Put,Market Price,Delta,Gamma,Vega,Theta
24/08/2007,21/09/2007,630,Put,0,-2.253,0.058,11.737,-8.393
24/08/2007,21/09/2007,640,Put,0,-2.78,0.071,13.998,-9.779
24/08/2007,21/09/2007,650,Call,0,93.728,0.117,26.973,-28.749
24/08/2007,21/09/2007,650,Put,0,-3.431,0.087,16.655,-11.363
24/08/2007,21/09/2007,660,Call,0,92.865,0.134,29.796,-30.31
24/08/2007,21/09/2007,660,Put,0,-4.233,0.106,19.759,-13.158
24/08/2007,21/09/2007,670,Call,0,91.857,0.154,32.946,-31.965
24/08/2007,21/09/2007,670,Put,0,-5.218,0.129,23.359,-15.175
24/08/2007,21/09/2007,680,Call,0,90.674,0.177,36.452,-33.71
24/08/2007,21/09/2007,680,Put,0,-6.423,0.156,27.496,-17.416
24/08/2007,21/09/2007,690,Call,0,89.283,0.204,40.339,-35.534
24/08/2007,21/09/2007,690,Put,0,-7.894,0.187,32.2,-19.871
24/08/2007,21/09/2007,700,Call,94.16,87.645,0.235,44.626,-37.418
24/08/2007,21/09/2007,700,Put,3.64,-9.68,0.224,37.48,-22.602
24/08/2007,21/09/2007,710,Call,86.3,85.71,0.271,49.317,-39.329
24/08/2007,21/09/2007,710,Put,4.4,-11.836,0.266,43.313,-24.881
24/08/2007,21/09/2007,720,Call,75.9,83.425,0.312,54.393,-41.222
24/08/2007,21/09/2007,720,Put,5.47,-14.42,0.314,49.631,-27.833
24/08/2007,21/09/2007,730,Call,67.6,80.723,0.358,59.803,-43.029
24/08/2007,21/09/2007,730,Put,7.07,-17.494,0.367,56.31,-31.561
24/08/2007,21/09/2007,740,Call,59.85,77.534,0.41,65.442,-43.97
24/08/2007,21/09/2007,740,Put,8.62,-21.109,0.423,63.142,-33.977
24/08/2007,21/09/2007,750,Call,51.35,73.778,0.467,71.134,-44.892
24/08/2007,21/09/2007,750,Put,10.7,-25.276,0.483,69.795,-36.553
24/08/2007,21/09/2007,760,Call,44.05,69.374,0.528,76.607,-47.263
24/08/2007,21/09/2007,760,Put,12.8,-30.04,0.544,75.951,-37.725
24/08/2007,21/09/2007,770,Call,36.55,64.238,0.59,81.468,-47.51
24/08/2007,21/09/2007,770,Put,15.34,-35.451,0.605,81.22,-38.158
24/08/2007,21/09/2007,780,Call,29.3,58.333,0.648,85.157,-46.389
24/08/2007,21/09/2007,780,Put,18.51,-41.549,0.662,85.103,-37.935
24/08/2007,21/09/2007,790,Call,23.45,51.68,0.696,86.982,-45.69
24/08/2007,21/09/2007,790,Put,22.13,-48.343,0.709,86.985,-36.199
24/08/2007,21/09/2007,800,Call,17.4,44.384,0.725,86.2,-42.016
24/08/2007,21/09/2007,800,Put,26.72,-55.792,0.74,86.146,-33.633
24/08/2007,21/09/2007,810,Call,12.6,36.653,0.726,82.165,-37.862
24/08/2007,21/09/2007,810,Put,31.45,-63.769,0.744,81.847,-28.347
24/08/2007,21/09/2007,820,Call,8.56,28.819,0.693,74.537,-32.194
24/08/2007,21/09/2007,820,Put,37.3,-72.021,0.711,73.496,-22.007
24/08/2007,21/09/2007,830,Call,5.42,21.308,0.622,63.532,-25.59
24/08/2007,21/09/2007,830,Put,44.9,-80.103,0.631,61.021,-17.26
24/08/2007,21/09/2007,840,Call,3.06,14.594,0.516,50.098,-18.354
24/08/2007,21/09/2007,840,Put,51.9,-87.351,0.505,45.459,-7.206
24/08/2007,21/09/2007,850,Call,1.64,9.085,0.388,35.857,-12.279
24/08/2007,21/09/2007,850,Put,61.05,-93.124,0.348,29.09,-1.1
24/08/2007,21/09/2007,860,Call,0.73,5.001,0.259,22.681,-6.951
24/08/2007,21/09/2007,860,Put,69.25,-97.006,0.194,14.991,4.021
24/08/2007,21/09/2007,870,Call,0.45,2.349,0.147,12.246,-4.862
24/08/2007,21/09/2007,870,Put,79.75,-99.055,0.079,5.642,7.016
24/08/2007,21/09/2007,880,Call,0.2,0.899,0.068,5.392,-2.591
24/08/2007,21/09/2007,880,Put,88.8,-99.815,0.02,1.331,8.268
24/08/2007,21/09/2007,890,Call,0.13,0.263,0.024,1.821,-0.471
24/08/2007,21/09/2007,890,Put,98.6,-99.982,0.003,0.154,8.634
