Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1380.8,-9.3,1389.4,1380.5,,, ,1,0,I,1380.8,4.1,0,,1390.1,,,,,,170512,,0.088,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17Q1160,-1,,,,0.1,,P,-0.268,0.009,O,0.05,,0,0.014,,927,,,170519,,170512,-0.072,0.088,-4.015,15:30:00,,1.594,,0,0.457,1160,0.05,0.07,May 1160 Puts,,,
RUT 17R1160,-1,,,,1,0.284,P,-1.874,0.039,O,0.8,,0,0.024,,221,-0.024,0.274,170616,,170512,-2.551,0.088,-7.229,15:30:00,,19.697,0.263,0,0.275,1160,0.8,0.82,Jun 1160 Puts,,,0.6
RUT 17S1160,2.47,-0.53,2.47,2.47,3.3,0.249,P,-4.834,0.068,O,2.93,2.47,0,0.035,3,86,-0.055,0.243,170721,,170512,-13.317,0.088,-9.904,15:30:00,,60.794,0.237,0,0.246,1160,2.93,3.1,Jul 1160 Puts,,17,2.6
RUT 17U1160,-1,,,,8.7,0.234,P,-9.279,0.088,O,8.3,,0,0.051,,27,-0.037,0.231,170915,,170512,-46.797,0.088,-11.639,15:30:00,,134.344,0.228,0,0.233,1160,8.3,8.62,Sep 1160 Puts,,,7.9
RUT 17X1160,-1,,,,19.4,0.229,P,-14.365,0.095,O,18.8,,0,0.072,,26,-0.015,0.226,171215,,170512,-127.6,0.088,-11.671,15:30:00,,239.034,0.224,0.006,0.227,1160,18.8,19.08,Dec 1160 Puts,,,18.2
RUT 17Q1170,-1,,,,,,P,-0.3,0.011,O,-1,,0,0.014,,867,,,170519,,170512,-0.081,0.088,-4.312,15:30:00,,1.765,,0,0.44,1170,,0.08,May 1170 Puts,,,
RUT 17R1170,-1,,,,1.1,0.276,P,-2.112,0.044,O,0.9,,0,0.023,,280,-0.022,0.267,170616,,170512,-2.873,0.088,-7.872,15:30:00,,21.794,0.257,0,0.268,1170,0.9,0.92,Jun 1170 Puts,,,0.7
RUT 17S1170,-1,,,,3.6,0.243,P,-5.332,0.075,O,3.25,,0,0.035,,1,-0.044,0.238,170721,,170512,-14.685,0.088,-10.564,15:30:00,,65.721,0.232,0,0.24,1170,3.25,3.4,Jul 1170 Puts,,,2.9
RUT 17U1170,-1,,,,9.5,0.231,P,-10.019,0.095,O,9.1,,0,0.05,,15,-0.02,0.228,170915,,170512,-50.523,0.088,-12.235,15:30:00,,142.112,0.225,0.001,0.229,1170,9.1,9.29,Sep 1170 Puts,,,8.7
RUT 17X1170,-1,,,,20.5,0.225,P,-15.237,0.1,O,19.9,,0,0.072,,183,-0.017,0.223,171215,,170512,-135.359,0.088,-11.908,15:30:00,,248.623,0.22,0.009,0.224,1170,19.9,20.25,Dec 1170 Puts,,,19.3
RUT 17Q1180,-1,,,,0.1,,P,-0.338,0.013,O,0.08,,0,0.013,,4663,,,170519,,170512,-0.091,0.088,-4.653,15:30:00,,1.965,,0,0.423,1180,0.08,0.08,May 1180 Puts,,,0.05
RUT 17R1180,-1,,,,1.35,0.273,P,-2.387,0.051,O,1.08,,0,0.023,,509,0.059,0.263,170616,,170512,-3.246,0.088,-9.068,15:30:00,,24.162,0.251,0,0.261,1180,1.08,1.02,Jun 1180 Puts,,,0.8
RUT 17S1180,-1,,,,3.9,0.238,P,-5.889,0.083,O,3.6,,0,0.034,,96,-0.035,0.233,170721,,170512,-16.216,0.088,-11.265,15:30:00,,71.067,0.229,0,0.235,1180,3.6,3.73,Jul 1180 Puts,,,3.3
RUT 17U1180,-1,,,,10.2,0.226,P,-10.821,0.102,O,9.8,,0,0.05,,96,-0.022,0.224,170915,,170512,-54.565,0.088,-12.707,15:30:00,,150.25,0.221,0.001,0.225,1180,9.8,10.02,Sep 1180 Puts,,,9.4
RUT 17X1180,-1,,,,22,0.223,P,-16.163,0.105,O,21.3,,0,0.073,,23,-0.01,0.22,171215,,170512,-143.601,0.088,-12.246,15:30:00,,258.427,0.218,0.012,0.221,1180,21.3,21.51,Dec 1180 Puts,,,20.6
RUT 17E1190,-1,,,,191.6,,C,99.871,0.006,O,189.55,,0,0.137,,43,-0.005,,170519,,170512,22.767,0.088,-4.778,15:30:00,,0.82,,1,0.359,1190,-1.25,190.59,May 1190 Calls,,,187.5
RUT 17F1190,-1,,,,191.5,,C,97.734,0.052,O,189.8,,0,0.135,,2,-0.004,,170616,,170512,110.84,0.088,-11.065,15:30:00,,23.142,,1,0.243,1190,-1,190.54,Jun 1190 Calls,,,188.1
RUT 17G1190,-1,,,,193.7,,C,93.792,0.09,O,192.15,,0,0.136,,,-0.001,,170721,,170512,210.51,0.088,-15.045,15:30:00,,74.059,,1,0.226,1190,1.35,192.37,Jul 1190 Calls,,,190.6
RUT 17I1190,-1,,,,199.2,0.231,C,88.316,0.11,O,197.65,,0,0.144,,,-0.001,0.221,170915,,170512,349.955,0.088,-16.866,15:30:00,,158.687,0.211,0.998,0.222,1190,6.85,197.81,Sep 1190 Calls,,,196.1
RUT 17L1190,-1,,,,209.9,0.226,C,82.76,0.111,O,208,,0,0.159,,22,0,0.219,171215,,170512,548.435,0.088,-16.65,15:30:00,,269.366,0.212,0.984,0.219,1190,17.2,208.07,Dec 1190 Calls,,,206.1
RUT 17Q1190,-1,,,,0.3,0.466,P,-0.384,0.015,O,0.3,,0,0.013,,913,,,170519,,170512,-0.103,0.088,-5.045,15:30:00,,2.201,,0,0.407,1190,0.3,0.09,May 1190 Puts,,,
RUT 17R1190,-1,,,,1.4,0.262,P,-2.706,0.058,O,1.17,,0,0.023,,809,0.017,0.254,170616,,170512,-3.68,0.088,-9.541,15:30:00,,26.839,0.245,0,0.253,1190,1.17,1.15,Jun 1190 Puts,,,0.95
RUT 17S1190,-1,,,,4.3,0.233,P,-6.513,0.092,O,4,,0,0.034,,35,-0.024,0.229,170721,,170512,-17.931,0.088,-12.007,15:30:00,,76.861,0.225,0,0.23,1190,4,4.1,Jul 1190 Puts,,,3.7
RUT 17U1190,-1,,,,11.2,0.224,P,-11.691,0.11,O,10.75,,0,0.05,,76,-0.006,0.221,170915,,170512,-58.948,0.088,-13.324,15:30:00,,158.754,0.218,0.002,0.222,1190,10.75,10.81,Sep 1190 Puts,,,10.3
RUT 17X1190,-1,,,,23.1,0.219,P,-17.144,0.111,O,22.55,,0,0.073,,108,-0.014,0.217,171215,,170512,-152.348,0.088,-12.529,15:30:00,,268.418,0.215,0.016,0.218,1190,22.55,22.86,Dec 1190 Puts,,,22
RUT 17E1200,180.16,-9.84,180.16,180.16,181.1,,C,99.844,0.008,O,179.96,190.29,0,0.13,190,40,-0.003,,170519,,170512,22.952,0.088,-5.052,15:30:00,,0.977,,1,0.345,1200,-0.84,180.59,May 1200 Calls,,1,178.8
RUT 17F1200,-1,,,,181.4,,C,97.379,0.06,O,180,,0,0.127,,590,-0.004,,170616,,170512,111.315,0.088,-11.881,15:30:00,,26.149,,1,0.237,1200,-0.8,180.68,Jun 1200 Calls,,,178.6
RUT 17G1200,-1,,,,183.7,,C,93.076,0.1,O,182.25,,0,0.13,,2,-0.003,,170721,,170512,210.453,0.088,-15.835,15:30:00,,80.585,,1,0.222,1200,1.45,182.82,Jul 1200 Calls,,,180.8
RUT 17I1200,-1,,,,190.2,0.226,C,87.345,0.118,O,188.65,,0,0.139,,113,-0.001,0.217,170915,,170512,348.49,0.088,-17.491,15:30:00,,167.809,0.208,0.996,0.218,1200,7.85,188.76,Sep 1200 Calls,,,187.1
RUT 17L1200,-1,,,,201.3,0.223,C,81.715,0.116,O,199.6,,0,0.154,,1452,0,0.217,171215,,170512,544.995,0.088,-16.968,15:30:00,,279.524,0.211,0.978,0.217,1200,18.8,199.61,Dec 1200 Calls,,,197.9
RUT 17Q1200,-1,,,,0.3,0.443,P,-0.439,0.017,O,0.18,,0,0.013,,2753,,,170519,,170512,-0.118,0.088,-5.501,15:30:00,,2.48,,0,0.39,1200,0.18,0.1,May 1200 Puts,,,0.05
RUT 17R1200,-1,,,,1.45,0.251,P,-3.079,0.066,O,1.27,,0,0.023,,3376,-0.016,0.245,170616,,170512,-4.185,0.088,-9.966,15:30:00,,29.869,0.239,0,0.246,1200,1.27,1.29,Jun 1200 Puts,,,1.1
RUT 17S1200,-1,,,,4.8,0.229,P,-7.212,0.101,O,4.45,,0,0.034,,591,-0.015,0.224,170721,,170512,-19.851,0.088,-12.788,15:30:00,,83.132,0.22,0,0.225,1200,4.45,4.52,Jul 1200 Puts,,,4.1
RUT 17U1200,-1,,,,12,0.22,P,-12.636,0.118,O,11.65,,0,0.05,,728,-0.003,0.218,170915,,170512,-63.709,0.088,-13.881,15:30:00,,167.634,0.215,0.004,0.218,1200,11.65,11.68,Sep 1200 Puts,,,11.3
RUT 17X1200,-1,,,,24.8,0.217,P,-18.184,0.116,O,24.2,,0,0.073,,2073,-0.004,0.215,171215,,170512,-161.624,0.088,-12.859,15:30:00,,278.564,0.213,0.022,0.215,1200,24.2,24.3,Dec 1200 Puts,,,23.6
RUT 17E1210,-1,,,,171.1,,C,99.809,0.01,O,169.95,,0,0.123,,63,-0.004,,170519,,170512,23.134,0.088,-5.383,15:30:00,,1.174,,1,0.332,1210,-0.85,170.6,May 1210 Calls,,,168.8
