Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,1509.3,1.3,1509.5,1507,,, ,1,0,I,1509.3,1507.9,0,,1508,,,,,,171011,,0.052,,15:30:00,,,,,,,,,RUT Index,0,,
RUT 17V1270,-1,,,,0.3,0.464,P,-0.591,0.016,O,0.3,,0,0.017,,1378,0.5,,171020,,171011,-0.225,0.052,-8.384,15:30:00,,4,,0,0.443,1270,0.3,0.2,Oct 1270 Puts,,,
RUT 17W1270,-1,,,,,,P,-2.392,0.042,O,-1,,0,0.026,,572,,,171117,,171011,-3.776,0.052,-9.967,15:30:00,,27.211,,0,0.281,1270,,1.25,Nov 1270 Puts,,,
RUT 17X1270,-1,,,,2.95,0.249,P,-4.239,0.058,O,2.75,,0,0.033,,426,-0.021,0.245,171215,,171011,-11.849,0.052,-10.417,15:30:00,,57.764,0.242,0,0.246,1270,2.75,2.81,Dec 1270 Puts,,,2.55
RUT 18M1270,-1,,,,5.6,0.231,P,-6.561,0.071,O,5.25,,0,0.041,,32,-0.037,0.228,180119,,171011,-28.487,0.052,-10.871,15:30:00,,101.125,0.224,0,0.23,1270,5.25,5.45,Jan18 1270 Puts,,,4.9
RUT 18O1270,-1,,,,11.5,0.225,P,-10.269,0.081,O,11.1,,0,0.056,,102,-0.036,0.222,180316,,171011,-70.737,0.052,-11.75,15:30:00,,176.518,0.22,0,0.225,1270,11.1,11.52,Mar18 1270 Puts,,,10.7
RUT 17V1280,-1,,,,0.3,0.446,P,-0.632,0.018,O,0.3,,0,0.016,,1608,0.429,,171020,,171011,-0.24,0.052,-8.603,15:30:00,,4.248,,0,0.427,1280,0.3,0.21,Oct 1280 Puts,,,
RUT 17W1280,-1,,,,1.5,0.279,P,-2.611,0.046,O,1.33,,0,0.025,,554,-0.007,0.273,171117,,171011,-4.121,0.052,-10.356,15:30:00,,29.291,0.267,0,0.274,1280,1.33,1.34,Nov 1280 Puts,,,1.15
RUT 17X1280,-1,,,,,,P,-4.621,0.063,O,-1,,0,0.033,,220,,,171215,,171011,-12.912,0.052,-11.09,15:30:00,,61.916,,0,0.241,1280,,3.03,Dec 1280 Puts,,,
RUT 18M1280,-1,,,,6,0.227,P,-7.075,0.076,O,5.7,,0,0.041,,4,-0.024,0.224,180119,,171011,-30.71,0.052,-11.373,15:30:00,,107.178,0.221,0,0.225,1280,5.7,5.84,Jan18 1280 Puts,,,5.4
