Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,Exp.Date,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,731.7,7.6,734.5,724.9,,, ,1,0,I,731.7,724.9,0,,724.1,,,,,,080527,,0.139,,15:30:00,,,,,,,,,RUT Index,0,,
RUWRR,0.35,,,,0.45,0.402,P,-1.57,0.053,O,0.37,,0,0.028,,8242,-0.14,0.391,080620,,080527,-0.782,0.139,-5.17,15:30:00,,7.42,0.379,0,0.4,590,0.37,0.43,Jun 590 Puts,,428,0.3
RUWSR,-1,,,,1.65,0.341,P,-4.015,0.093,O,1.53,,0,0.04,,1302,-0.032,0.336,080718,,080527,-4.392,0.139,-7.32,15:30:00,,23.903,0.33,0,0.338,590,1.53,1.58,Jul 590 Puts,,,1.4
RUWTR,-1,,,,4.4,0.344,P,-7.51,0.123,O,4.4,,0,0.056,,1755,0.063,,080815,,080527,-12.877,0.139,-9.906,15:30:00,,48.463,,0,0.338,590,4.4,4.14,Aug 590 Puts,,,
RUWUR,-1,,,,7.6,0.334,P,-10.674,0.135,O,7.45,,0,0.073,,515,-0.016,0.332,080919,,080527,-26.794,0.139,-10.354,15:30:00,,75.27,0.33,0.003,0.334,590,7.45,7.57,Sep 590 Puts,,,7.3
RUWXR,-1,,,,,,P,-15.724,0.136,O,16.1,,0,0.107,,48,-0.018,0.324,081219,,080527,-73.35,0.139,-9.518,15:30:00,,131.003,0.324,0.019,0.326,590,16.1,16.4,Dec 590 Puts,,,16.1
RUWRT,0.5,,,,0.6,0.391,P,-1.959,0.066,O,0.5,,0,0.028,,10406,-0.057,0.38,080620,,080527,-0.975,0.139,-6.486,15:30:00,,8.96,0.368,0,0.384,600,0.5,0.53,Jun 600 Puts,,628,0.4
RUWST,-1,,,,2.25,0.341,P,-4.918,0.112,O,2.03,,0,0.041,,1695,0.036,0.333,080718,,080527,-5.382,0.139,-8.901,15:30:00,,28.136,0.325,0,0.331,600,2.03,1.96,Jul 600 Puts,,,1.8
RUWTT,-1,,,,4.8,0.33,P,-8.754,0.141,O,4.65,,0,0.057,,608,-0.045,0.328,080815,,080527,-15.022,0.139,-10.545,15:30:00,,54.393,0.325,0.001,0.332,600,4.65,4.87,Aug 600 Puts,,,4.5
RUWUT,-1,,,,,,P,-12.087,0.15,O,8.7,,0,0.073,,347,0.005,0.329,080919,,080527,-30.368,0.139,-11.259,15:30:00,,82.225,0.329,0.006,0.328,600,8.7,8.66,Sep 600 Puts,,,8.7
RUWXT,-1,,,,18.4,0.324,P,-17.192,0.146,O,18.2,,0,0.108,,4073,0.005,0.322,081219,,080527,-80.302,0.139,-10.083,15:30:00,,138.79,0.321,0.028,0.322,600,18.2,18.11,Dec 600 Puts,,,18
RUYFB,-1,,,,124.3,,C,97.484,0.084,O,122.85,,0,0.163,,519,0.005,,080620,,080527,38.784,0.139,-11.024,15:30:00,,11.062,,1,0.371,610,1.15,122.2,Jun 610 Calls,,,121.4
RUYGB,-1,,,,125.2,,C,92.581,0.146,O,124.65,,0,0.168,,44,0,,080718,,080527,78.444,0.139,-15.557,15:30:00,,38.765,,1,0.349,610,2.95,124.7,Jul 610 Calls,,,124.1
RUYHB,-1,,,,128.5,,C,89.318,0.162,O,127.95,,0,0.175,,,0.004,,080815,,080527,114.678,0.139,-15.63,15:30:00,,62.923,,0.997,0.333,610,6.25,127.43,Aug 610 Calls,,,127.4
RUYIB,-1,,,,132,,C,85.588,0.166,O,130.95,,0,0.186,,168,-0.009,,080919,,080527,154.485,0.139,-15.979,15:30:00,,92.796,,0.99,0.335,610,9.25,132.11,Sep 610 Calls,,,129.9
RUYLB,-1,,,,143.2,0.332,C,80.978,0.155,O,142.05,,0,0.209,,,0.002,0.324,081219,,080527,250.903,0.139,-14.083,15:30:00,,147.842,0.316,0.96,0.322,610,20.35,141.77,Dec 610 Calls,,,140.9
RUYRB,0.6,,,,0.7,0.373,P,-2.458,0.083,O,0.62,,0,0.027,,9130,-0.061,0.366,080620,,080527,-1.223,0.139,-7.589,15:30:00,,10.85,0.359,0,0.37,610,0.62,0.66,Jun 610 Puts,,1343,0.55
RUYSB,-1,,,,,,P,-6.011,0.134,O,2.2,,0,0.041,,4822,-0.087,0.316,080718,,080527,-6.581,0.139,-9.276,15:30:00,,32.963,0.316,0,0.323,610,2.2,2.41,Jul 610 Puts,,,2.2
RUYTB,-1,,,,5.8,0.326,P,-10.179,0.16,O,5.65,,0,0.058,,1770,-0.012,0.324,080815,,080527,-17.481,0.139,-11.831,15:30:00,,60.774,0.322,0.003,0.325,610,5.65,5.72,Aug 610 Puts,,,5.5
RUYUB,-1,,,,10.1,0.325,P,-13.652,0.166,O,9.9,,0,0.074,,391,0.001,0.323,080919,,080527,-34.337,0.139,-11.982,15:30:00,,89.458,0.321,0.01,0.323,610,9.9,9.89,Sep 610 Puts,,,9.7
RUYXB,-1,,,,20.2,0.319,P,-18.76,0.156,O,20,,0,0.109,,145,0.002,0.318,081219,,080527,-87.744,0.139,-10.471,15:30:00,,146.595,0.316,0.04,0.317,610,20,19.96,Dec 610 Puts,,,19.8
RUYFD,-1,,,,112.4,,C,96.793,0.107,O,112,,0,0.15,,274,-0.003,,080620,,080527,39.097,0.139,-12.567,15:30:00,,13.532,,1,0.358,620,0.3,112.39,Jun 620 Calls,,,111.6
RUYGD,-1,,,,115.7,,C,91.257,0.17,O,115.2,,0,0.156,,60,-0.001,,080718,,080527,78.404,0.139,-16.864,15:30:00,,43.871,,0.999,0.339,620,3.5,115.33,Jul 620 Calls,,,114.7
RUYHD,-1,,,,119.7,,C,87.732,0.183,O,119.1,,0,0.164,,17,0.005,,080815,,080527,114.116,0.139,-16.66,15:30:00,,69.423,,0.994,0.326,620,7.4,118.45,Aug 620 Calls,,,118.5
RUYID,-1,,,,124.6,,C,83.95,0.182,O,122.55,,0,0.176,,215,-0.008,,080919,,080527,153.452,0.139,-16.663,15:30:00,,99.657,,0.983,0.328,620,10.85,123.49,Sep 620 Calls,,,120.5
RUYLD,-1,,,,134.5,0.322,C,79.351,0.165,O,133.85,,0,0.2,,,0,0.317,081219,,080527,248.741,0.139,-14.361,15:30:00,,155.336,0.313,0.944,0.317,620,22.15,133.83,Dec 620 Calls,,,133.2
RUYRD,0.9,,,,0.95,0.364,P,-3.103,0.105,O,0.9,,0,0.027,,19209,0.084,0.36,080620,,080527,-1.543,0.139,-9.997,15:30:00,,13.169,0.356,0,0.355,620,0.9,0.83,Jun 620 Puts,,3476,0.85
RUYSD,-1,,,,3.3,0.324,P,-7.328,0.16,O,3.3,,0,0.042,,7227,0.107,,080718,,080527,-8.028,0.139,-11.289,15:30:00,,38.413,,0.001,0.315,620,3.3,2.98,Jul 620 Puts,,,
RUYTD,-1,,,,6.8,0.32,P,-11.804,0.182,O,6.65,,0,0.058,,267,-0.01,0.318,080815,,080527,-20.289,0.139,-12.887,15:30:00,,67.574,0.316,0.006,0.319,620,6.65,6.72,Aug 620 Puts,,,6.5
RUYUD,-1,,,,11.5,0.32,P,-15.38,0.183,O,11.35,,0,0.075,,2914,0.007,0.318,080919,,080527,-38.727,0.139,-12.812,15:30:00,,96.912,0.316,0.017,0.317,620,11.35,11.27,Sep 620 Puts,,,11.2
RUYXD,-1,,,,22.1,0.314,P,-20.426,0.166,O,21.9,,0,0.111,,174,-0.003,0.313,081219,,080527,-95.667,0.139,-10.78,15:30:00,,154.342,0.312,0.056,0.313,620,21.9,21.97,Dec 620 Puts,,,21.7
RUYFF,-1,,,,102.6,,C,95.896,0.136,O,102.2,,0,0.137,,415,-0.004,,080620,,080527,39.307,0.139,-14.372,15:30:00,,16.552,,1,0.344,630,0.5,102.64,Jun 630 Calls,,,101.8
RUYGF,-1,,,,105,,C,89.698,0.198,O,104.9,,0,0.145,,3,-0.011,,080718,,080527,78.103,0.139,-18.237,15:30:00,,49.493,,0.998,0.33,630,3.2,106.08,Jul 630 Calls,,,104.8
RUYHF,-1,,,,111.3,,C,85.937,0.205,O,110.95,,0,0.154,,,0.012,,080815,,080527,113.186,0.139,-17.698,15:30:00,,76.271,,0.989,0.319,630,9.25,109.62,Aug 630 Calls,,,110.6
RUYIF,-1,,,,116.5,0.335,C,82.148,0.199,O,115.25,,0,0.167,,104,0.002,0.323,080919,,080527,151.998,0.139,-17.479,15:30:00,,106.682,0.312,0.972,0.321,630,13.55,115.01,Sep 630 Calls,,,114
RUYLF,-1,,,,126.3,0.314,C,77.62,0.176,O,125.6,,0,0.192,,209,-0.004,0.31,081219,,080527,246.066,0.139,-14.562,15:30:00,,162.752,0.306,0.925,0.313,630,23.9,126.05,Dec 630 Calls,,,124.9
RUYRF,-1,,,,0.75,0.32,P,-3.938,0.133,O,0.68,,0,0.027,,28398,-0.346,0.315,080620,,080527,-1.958,0.139,-7.861,15:30:00,,16.009,0.308,0,0.34,630,0.68,1.04,Jun 630 Puts,,,0.6
RUYSF,-1,,,,3.9,0.313,P,-8.907,0.19,O,3.75,,0,0.042,,13250,0.025,0.31,080718,,080527,-9.765,0.139,-12.987,15:30:00,,44.493,0.306,0.002,0.308,630,3.75,3.66,Jul 630 Puts,,,3.6
RUYTF,-1,,,,8,0.314,P,-13.649,0.205,O,8.25,,0,0.059,,700,0.048,0.317,080815,,080527,-23.482,0.139,-14.514,15:30:00,,74.738,0.321,0.011,0.312,630,8.25,7.87,Aug 630 Puts,,,8.5
RUYUF,-1,,,,12.9,0.312,P,-17.279,0.201,O,12.7,,0,0.077,,730,-0.01,0.31,080919,,080527,-43.565,0.139,-13.36,15:30:00,,104.513,0.309,0.028,0.312,630,12.7,12.83,Sep 630 Puts,,,12.5
RUYXF,-1,,,,24.4,0.31,P,-22.19,0.177,O,24.2,,0,0.112,,643,0.003,0.309,081219,,080527,-104.079,0.139,-11.164,15:30:00,,161.967,0.308,0.075,0.309,630,24.2,24.12,Dec 630 Puts,,,24
RUYFH,-1,,,,93.2,,C,94.731,0.173,O,92.85,,0,0.124,,388,-0.001,,080620,,080527,39.383,0.139,-16.464,15:30:00,,20.22,,1,0.331,640,1.15,92.97,Jun 640 Calls,,,92.5
RUYGH,-1,,,,96.6,,C,87.868,0.229,O,96.1,,0,0.134,,144,-0.009,,080718,,080527,77.501,0.139,-19.661,15:30:00,,55.617,,0.995,0.32,640,4.4,96.97,Jul 640 Calls,,,95.6
RUYHH,-1,,,,98.7,,C,83.911,0.23,O,100.2,,0,0.144,,,-0.008,,080815,,080527,111.853,0.139,-18.727,15:30:00,,83.405,,0.98,0.312,640,8.5,100.96,Aug 640 Calls,,,101.7
RUYIH,-1,,,,104.3,0.293,C,80.173,0.217,O,104.75,,0,0.157,,109,-0.018,0.297,080919,,080527,150.092,0.139,-16.644,15:30:00,,113.801,0.301,0.957,0.314,640,13.05,106.71,Sep 640 Calls,,,105.2
RUYLH,-1,,,,118.3,0.307,C,75.783,0.187,O,118.25,,0,0.183,,12,-0.002,0.307,081219,,080527,242.867,0.139,-14.995,15:30:00,,170.021,0.306,0.901,0.308,640,26.55,118.44,Dec 640 Calls,,,118.2
RUYRH,-1,,,,,,P,-5.025,0.169,O,0.9,,0,0.027,,22146,-0.323,0.302,080620,,080527,-2.498,0.139,-9.487,15:30:00,,19.474,0.302,0,0.326,640,0.9,1.33,Jun 640 Puts,,,0.9
RUYSH,-1,,,,4.7,0.304,P,-10.79,0.224,O,4.5,,0,0.043,,5487,0,0.3,080718,,080527,-11.839,0.139,-14.326,15:30:00,,51.185,0.296,0.005,0.3,640,4.5,4.5,Jul 640 Puts,,,4.3
RUYTH,-1,,,,9.4,0.309,P,-15.731,0.23,O,9.2,,0,0.06,,70,0,0.306,080815,,080527,-27.095,0.139,-15.118,15:30:00,,82.19,0.304,0.02,0.306,640,9.2,9.2,Aug 640 Puts,,,9
RUYUH,-1,,,,14.6,0.307,P,-19.358,0.219,O,14.6,,0,0.078,,714,0.001,0.307,080919,,080527,-48.871,0.139,-14.179,15:30:00,,112.169,0.307,0.043,0.307,640,14.6,14.58,Sep 640 Puts,,,14.6
RUYXH,-1,,,,27.4,0.31,P,-24.055,0.188,O,26.8,,0,0.113,,227,0.014,0.306,081219,,080527,-112.991,0.139,-11.538,15:30:00,,169.408,0.303,0.099,0.304,640,26.8,26.44,Dec 640 Puts,,,26.2
RUYFJ,-1,,,,84.6,,C,93.216,0.22,O,84.05,,0,0.112,,2825,0.008,,080620,,080527,39.286,0.139,-18.859,15:30:00,,24.633,,1,0.318,650,2.35,83.39,Jun 650 Calls,,,83.5
RUYGJ,-1,,,,87.7,,C,85.726,0.264,O,87.05,,0,0.123,,44,-0.011,,080718,,080527,76.55,0.139,-21.11,15:30:00,,62.203,,0.988,0.311,650,5.35,88.02,Jul 650 Calls,,,86.4
RUYHJ,-1,,,,92.2,0.302,C,81.636,0.256,O,91.9,,0,0.134,,,-0.006,0.298,080815,,080527,110.08,0.139,-19.122,15:30:00,,90.731,0.295,0.965,0.305,650,10.2,92.49,Aug 650 Calls,,,91.6
RUYIJ,-1,,,,98.3,0.305,C,78.014,0.236,O,97.75,,0,0.148,,646,-0.009,0.301,080919,,080527,147.707,0.139,-18.031,15:30:00,,120.927,0.296,0.935,0.308,650,16.05,98.59,Sep 650 Calls,,,97.2
RUYLJ,-1,,,,111.5,0.306,C,73.841,0.197,O,110.6,,0,0.175,,522,-0.004,0.301,081219,,080527,239.134,0.139,-15.212,15:30:00,,177.072,0.296,0.873,0.303,650,28.9,111.01,Dec 650 Calls,,,109.7
RUYRJ,-1,,,,1.35,0.297,P,-6.442,0.215,O,1.35,,0,0.027,,24060,-0.201,0.297,080620,,080527,-3.202,0.139,-12.59,15:30:00,,23.672,0.297,0,0.312,650,1.35,1.69,Jun 650 Puts,,,1.35
RUYSJ,-1,,,,5.8,0.297,P,-13.019,0.262,O,5.65,,0,0.044,,2579,0.022,0.295,080718,,080527,-14.299,0.139,-16.181,15:30:00,,58.427,0.292,0.012,0.293,650,5.65,5.53,Jul 650 Puts,,,5.5
RUYTJ,-1,,,,10.9,0.302,P,-18.069,0.257,O,10.85,,0,0.062,,67,0.01,0.301,080815,,080527,-31.161,0.139,-16.252,15:30:00,,89.824,0.301,0.035,0.3,650,10.85,10.74,Aug 650 Puts,,,10.8
RUYUJ,-1,,,,16.7,0.303,P,-21.617,0.238,O,16.55,,0,0.079,,5333,0.002,0.301,080919,,080527,-54.651,0.139,-14.831,15:30:00,,119.758,0.3,0.065,0.301,650,16.55,16.52,Sep 650 Puts,,,16.4
RUYXJ,-1,,,,28.9,0.3,P,-26.022,0.199,O,28.75,,0,0.115,,13495,-0.006,0.299,081219,,080527,-122.416,0.139,-11.638,15:30:00,,176.597,0.298,0.127,0.3,650,28.75,28.92,Dec 650 Puts,,,28.6
RUYFL,-1,,,,75.1,,C,91.251,0.278,O,74.3,,0,0.1,,1385,0.005,,080620,,080527,38.963,0.139,-21.553,15:30:00,,29.872,,0.998,0.305,660,2.6,73.95,Jun 660 Calls,,,73.5
RUYGL,-1,,,,78.9,0.296,C,83.229,0.302,O,79.25,,0,0.113,,39,0,0.301,080718,,080527,75.204,0.139,-22.55,15:30:00,,69.174,0.306,0.975,0.301,660,7.55,79.27,Jul 660 Calls,,,79.6
RUYHL,-1,,,,85.2,0.308,C,79.094,0.283,O,84.45,,0,0.125,,18,0.002,0.3,080815,,080527,107.832,0.139,-20.857,15:30:00,,98.133,0.292,0.943,0.298,660,12.75,84.24,Aug 660 Calls,,,83.7
RUYIL,-1,,,,90.9,0.303,C,75.662,0.255,O,90.05,,0,0.14,,270,-0.007,0.296,080919,,080527,144.816,0.139,-18.718,15:30:00,,127.958,0.29,0.907,0.301,660,18.35,90.68,Sep 660 Calls,,,89.2
RUYLL,-1,,,,103.8,0.299,C,71.793,0.208,O,103.65,,0,0.168,,33,-0.001,0.298,081219,,080527,234.86,0.139,-15.569,15:30:00,,183.825,0.297,0.84,0.299,660,31.95,103.77,Dec 660 Calls,,,103.5
RUYRL,-1,,,,1.95,0.29,P,-8.293,0.273,O,1.83,,0,0.027,,32707,-0.161,0.285,080620,,080527,-4.123,0.139,-15.225,15:30:00,,28.705,0.28,0.002,0.298,660,1.83,2.18,Jun 660 Puts,,,1.7
RUYSL,-1,,,,6.9,0.288,P,-15.64,0.305,O,6.85,,0,0.045,,1798,0.012,0.287,080718,,080527,-17.197,0.139,-17.7,15:30:00,,66.114,0.286,0.025,0.286,660,6.85,6.77,Jul 660 Puts,,,6.8
