Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RUT,457.25,12.89,458.82,444.57,,, ,1,0,I,457.25,444.57,0,,444.36,,,,,,090126,,0.367,,15:30:00,,,,,,,,,RUT Index,0,,
RURNG,0.6,,,,0.4,0.853,P,-0.904,0.025,O,0.34,,0,0.057,,1124,0.062,0.835,090220,,090126,-0.304,0.367,-4.859,15:30:00,,2.923,0.802,0,0.828,280,0.34,0.32,Feb 280 Puts,,,0.25
RUROG,1.9,-0.93,2.4,1.9,1.95,0.76,P,-3.459,0.058,O,1.92,2.4,0,0.094,2.83,1266,-0.05,0.757,090320,,090126,-2.58,0.367,-9.134,15:30:00,,13.31,0.756,0,0.765,280,1.92,2.02,Mar 280 Puts,,10,1.9
RURPG,5.2,,,,4.1,0.72,P,-5.39,0.071,O,3.96,,0,0.119,,8,-0.01,0.714,090417,,090126,-6.322,0.367,-10.245,15:30:00,,23.49,0.703,0.002,0.716,280,3.96,4,Apr 280 Puts,,,3.7
RURRG,8.6,-1.6,9.6,8.6,8.5,0.653,P,-8.366,0.083,O,8.36,9.6,0,0.162,10.2,387,-0.015,0.65,090619,,090126,-18.278,0.367,-9.788,15:30:00,,43.799,0.647,0.018,0.653,280,8.36,8.49,Jun 280 Puts,,30,8.2
RURUG,15.6,,,,15.1,0.614,P,-11.031,0.086,O,14.55,,0,0.211,,55,-0.007,0.606,090918,,090126,-41.361,0.367,-8.701,15:30:00,,68.156,0.597,0.052,0.608,280,14.55,14.65,Sep 280 Puts,,,13.9
RURNI,0.8,,,,0.5,0.825,P,-1.168,0.032,O,0.44,,0,0.057,,52453,0.073,0.81,090220,,090126,-0.393,0.367,-5.937,15:30:00,,3.654,0.784,0,0.802,290,0.44,0.41,Feb 290 Puts,,,0.35
RUROI,3.5,,,,2.5,0.75,P,-4.151,0.069,O,2.43,,0,0.094,,762,0,0.746,090320,,090126,-3.097,0.367,-10.769,15:30:00,,15.444,0.734,0.001,0.746,290,2.43,2.43,Mar 290 Puts,,,2.25
RURPI,6.1,,,,4.7,0.701,P,-6.271,0.082,O,4.58,,0,0.12,,53,-0.017,0.696,090417,,090126,-7.357,0.367,-11.231,15:30:00,,26.454,0.685,0.005,0.699,290,4.58,4.66,Apr 290 Puts,,,4.3
RURRI,10.1,-0.51,10.1,10.1,9.7,0.642,P,-9.458,0.092,O,9.58,10.1,0,0.163,10.61,243,-0.006,0.639,090619,,090126,-20.678,0.367,-10.593,15:30:00,,47.982,0.635,0.026,0.64,290,9.58,9.64,Jun 290 Puts,,10,9.4
