Ticker,Name,Exchange,categoryName,categoryNr
GDNEY,Golden Eagle Retail Group Ltd.,PNK,,0
1052-OL.HK,YUEXIUTRANSPORT,HKG,,0
ODN.AX,Odin Energy Limited,ASX,Independent Oil & Gas,121
JAK1.BE,JAKARTA INTL HTL DV,BER,,0
MU.V,Monster Uranium Corp.,VAN,Industrial Metals & Minerals,133
USS.BE,MARATHON OIL,BER,Independent Oil & Gas,121
0OR.F,OCEAN RIG UDW,FRA,,0
NWBOW,"Northwest Biotherapeutics, Inc.",NCM,,0
O3H.SG,SIA Engineering Company Limited,STU,,0
UCR.F,,,,0
GZL-O.CR,GPO. ZULIANO,CCS,,0
1880714.NX,IKB FUNDING TR II,ENX,,0
EJR.DU,EAST JAPAN RAILWAY,DUS,Railroads,776
RYGYO.IS,Reysas Gayrimenkul Yatirim Ortakligi A.S.,IST,,0
HINDNATGL.NS,Hindusthan National Glass & Industries Ltd.,,Packaging & Containers,325
UUL.AX,Ultima United Limited,ASX,Real Estate Development,449
AMZN.MX,"Amazon.com, Inc.",MEX,"Specialty Retail, Other",745
722710.TWO,YUANTA SECURITIES C/W 29/08/16(,TWO,,0
EFL.TO,Electrovaya Inc.,TOR,Diversified Electronics,836
CNRAF,Vicinity Centres,PNK,,0
TRHF,"TRHF Company Limited, Inc.",PNK,Personal Products,323
BCYP,"Blue Calypso, Inc.",OBB,Marketing Services,721
SZZ.DE,SinnerSchrader AG,GER,Marketing Services,721
E8X.DE,elexxion AG,GER,Medical Appliances & Equipment,521
SZZ.DU,SINNERSCHRADER,DUS,Marketing Services,721
JML.V,JAG Mines Ltd.,VAN,Conglomerates,210
VNTV,"Vantiv, Inc.",NYQ,Business Services,760
J0Q.SI,db x-trackers - MSCI Pacific ex Japan Index UCITS ETF (DR),SES,,0
CSG.BE,CMS ENERGY CORP,BER,Electric Utilities,911
WPX,"WPX Energy, Inc.",NYQ,Independent Oil & Gas,121
BGD.V,Bullion Gold Resources Corp.,VAN,Industrial Metals & Minerals,133
VDG.DE,,,,0
LCX.DU,L-3 COMMUNICATIONS,DUS,Aerospace/Defense - Major Diversified,610
ZYDUSWELL.BO,Zydus Wellness Limited,BSE,Personal Products,323
MEGA.JK,BK MEGA IDR500,JKT,,0
ERGO,"Entia Biosciences, Inc",PNK,Biotechnology,515
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",NGM,"Discount, Variety Stores",732
FLYLF,FLYHT Aerospace Solutions Ltd.,PNK,,0
JSWSTEEL6.BO,JSW STEEL LTD,BSE,,0
RGM.L,Regency Mines Plc,LSE,Industrial Metals & Minerals,133
1JYA.MU,JIAYUAN SP ADR,MUN,,0
IMM.V,Immunotec Inc.,VAN,Medical Laboratories & Research,525
YAK.V,Mongolia Growth Group Ltd.,VAN,Property Management,448
KTOV,Kitov Pharmaceuticals Holdings LTD,NCM,,0
ARTW,Art's-Way Manufacturing Co. Inc.,NCM,Farm & Construction Machinery,620
KTOS,"Kratos Defense & Security Solutions, Inc.",NMS,Security & Protection Services,765
ARTX,Arotech Corporation,NGM,Industrial Electrical Equipment,627
AQUA.OL,Aqualis ASA,OSL,Oil & Gas Equipment & Services,124
OPG.AX,OPUS Group Limited,ASX,Publishing - Newspapers,727
0138.KL,MY E.G. SERVICES BHD,KLS,,0
QIG.BE,SIG,BER,Industrial Equipment Wholesale,752
FR4N.DU,FREEGOLD VENT,DUS,,0
HCL.BE,HECLA MINING,BER,Silver,135
ARTH,"Arch Therapeutics, Inc.",OBB,Medical Appliances & Equipment,521
NWG.SG,NEW WAVE -B-,STU,Textile - Apparel Clothing,320
AA.MX,Alcoa Inc.,MEX,Aluminum,132
SPN,"Superior Energy Services, Inc.",NYQ,Oil & Gas Equipment & Services,124
EAS.L,Energy Assets Group Plc,LSE,,0
TDCB,Third Century Bancorp.,OBB,Savings & Loans,419
TDCH,"30DC, Inc.",PNK,,0
SEFA.TA,Shefa Yamim Ltd.,TLV,,0
EAS.V,East Asia Minerals Corporation,VAN,Industrial Metals & Minerals,133
RLI,RLI Corp.,NYQ,Property & Casualty Insurance,432
RLH,Red Lion Hotels Corporation,NYQ,Lodging,710
RLJ,RLJ Lodging Trust,NYQ,REIT - Hotel/Motel,443
YZA.HM,ARYZTA N,HAM,,0
ONCYF,Oncolytics Biotech Inc.,PNK,,0
ABAC,"Aoxin Tianli Group, Inc.",NCM,Farm Products,341
RHKJF,Rhön-Klinikum Aktiengesellschaft,PNK,,0
ULB.SG,ULTRALIFE,STU,Diversified Machinery,622
HESTERBIO.BO,Hester Biosciences Ltd,BSE,Drug Manufacturers - Major,510
XCY.F,OPKO HEALTH,FRA,,0
ABAT,"Advanced Battery Technologies, Inc.",PNK,,0
COHR,Coherent Inc.,NMS,Scientific & Technical Instruments,837
ABAX,"Abaxis, Inc.",NMS,Medical Laboratories & Research,525
COHU,"Cohu, Inc.",NMS,Semiconductor Equipment & Materials,834
LF,LeapFrog Enterprises Inc.,NYQ,,0
LG,Spire Inc.,NYQ,,0
